Objektnummer;Kulturdenkmaltyp;Kreis;Gemeinde;Adresse-Lage;Bezeichnung;Beschreibung;Begründung;Schutzumfang;FotoURL
4194;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Bahnhofstraße 35";"Kath. Pfarrhaus";"Alteintragung (Aktualisierung vorgesehen)";"Geschichtlich, Städtebaulich";"Alteintragung (Aktualisierung vorgesehen)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/4194.jpg"
15390;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Bahnhofstraße 40";"Wohnhaus";"Wohnhaus; um 1879, 1897; Magnus Schlichting; dreigeschossiger Putzbau unter flachem Pultdach über Konsolgesims mit repräsentativer Fassade, flacher Mitterisalit mit von Konsolen getragenem Erker, an der linken Hausseite putzziergeschmückte Hofdurchfahrt";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15390.jpg"
15254;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Bahnhofstraße";"Pissoir";"Alteintragung (Aktualisierung vorgesehen)";"";"Alteintragung (Aktualisierung vorgesehen)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15254.jpg"
15162;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Berliner Platz";"Berliner Bär";"Berliner Bär; 1957; Bildhauer Georg Fugh; Gedenkstein für die verlorene Hauptstadt Berlin, ca. 4 m hohe Stele aus roten Granitquadern mit stilisiertem Berliner Bären und Inschrift „BERLIN“";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15162.jpg"
15341;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Bismarckstraße 79";"Mietwohnungshaus";"Alteintragung (Aktualisierung vorgesehen)";"Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15341.jpg"
8917;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Boostedter Straße 1";"ehem. Gasthaus";"ehem. Gasthaus; 1906; Carl Otto Göttsche; zweigeschossiger traufständiger Putzbau  unter Satteldach, Fassade mit Feldsteinsockel und Zierfriesfelder in Jugendstilformen, zentraler Fachwerkzwerchgiebel";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/8917.jpg"
8908;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Boostedter Straße 3";"ehem. Saggau'sche Kaserne (Musikschule Neumünster)";"Alteintragung (Aktualisierung vorgesehen)";"Geschichtlich, Städtebaulich";"gesamtes Äußeres";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/8908.jpg"
9204;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Boostedter Straße 26";"Amtsgericht";"Alteintragung (Aktualisierung vorgesehen)";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/9204.jpg"
13507;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Boostedter Straße 30";"Pfortengebäude";"Pfortengebäude; 1902-1905, Radloff und Saal; dreiflügeliges, zweigeschossiges Pfortengebäude unter Walmdach aus Backstein, neogotischer Stufengiebel";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/13507.jpg"
13508;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Boostedter Straße 30";"Hafthaus A (ehem. Weibergefängnis)";"Hafthaus A (ehem. Weibergefängnis); 1902-1905, Radloff und Saal; flachgedeckter viergeschossiger Bau in gotisierender Putz- und Backsteinoptik, an der Nordseite seitlich vorspringender Kopfbau unter Walmdach";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/13508.jpg"
13510;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Boostedter Straße 30";"Hafthaus C (Vierstrahler)";"Hafthaus C (Vierstrahler); 1902-1905, Radloff und Saal; kreuzförmiges, viergeschossiges, flachgedecktes Haupthafthaus in gotisierender Putz und Backsteinoptik, Kapelle im Ostflügel mit Spitzbogenfenstern";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/13510.jpg"
13511;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Boostedter Straße 32";"Dienstgebäude (ehem. Direktorenhaus)";"Dienstgebäude (ehem. Direktorenhaus); 1903/04, Radloff und Saal; eingeschossiger, gotisierender Backsteinbau auf Feldsteinsockel unter ausgebautem Schopfwalmdach; Einfriedung";"Geschichtlich, Städtebaulich";"Dienstgebäude (ehem. Direktorenhaus), Einfriedung";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/13511.jpg"
21276;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Boostedter Straße 43 - 47";"Mietwohnungshaus";"Mietwohnungshaus; 1937/38, Architekten Martin Birkigt und Otto Lippelt; winkelförmig angelegter Backsteinbau aus einem zwei- und einem dreigeschossigen Baukörper, abgeschlossen durch auskragende Walmdächer, Fassade durch Risalite und regelmäßig angeordnete Fenster rhythmisiert; Außenanlagen mit umfriedeter Grünfläche";"Geschichtlich, Städtebaulich";"Mietwohnungshaus, Außenanlagen, Einfriedung";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/21276.jpg"
15105;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Boostedter Straße u.a.";"Mietwohnungshaus Boostedter Straße 16-24/Gerichtsstraße 2-8";"Mietwohnungshaus; 1924/25; Paul Reese für die Städtische Kleinwohnungsbaugesellschaft Neumünster; Dreigeschossige, vor der Ecke Gerichtsstraße platzbildend einspringende Blockrandbebauung unter Satteldach mit variierender Putzfassadengestaltung und Erkern; Vorplatz als Grünfläche mit Kastanienbäumen";"Geschichtlich, Städtebaulich";"gesamtes Äußeres, baumbestandener Vorplatz";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15105.jpg"
15316;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Brachenfelder Straße 1 - 3";"ehem. Stadthaus";"Stadthaus, heute Technisches Rathaus, 1927/28, Carl Lembke, dreigeschossiger, violetter Klinkerbau auf verputztem Sockel unter ausgebautem Walmdach mit Breitgauben, nördlich anschließende Einfriedungsmauer";"Geschichtlich, Städtebaulich";"ehem. Stadthaus, nördliche Einfriedungsmauer";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15316.jpg"
15308;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Brachenfelder Straße 23";"ehem. Realschule";"ehem. Realschule, 1877, dreigeschossiger Backsteinbau unter schiefergedecktem Walmdach mit durch Mittelrisalit unter Attika und Pilastern gegliederter, symmetrischer Straßenfassade, rückwärtige Einfriedungsmauer Schulhof";"Geschichtlich, Städtebaulich";"ehem. Realschule, Einfriedung (Holstenstraße)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15308.jpg"
15324;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Brachenfelder Straße 64";"Mietwohnungshaus";"Mietwohnungshaus, 1901, Wilhelm Brockstedt, dreigeschossiger Putzbau unter Kieler Dach mit gotisierendem Fassadendekor";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15324.jpg"
9205;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Brachenfelder Straße 69";"Villa Ströhmer/Wachholtz";"Alteintragung (Aktualisierung vorgesehen)";"Geschichtlich, Künstlerisch, Städtebaulich";"Alteintragung (Aktualisierung vorgesehen)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/9205.jpg"
27433;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Brachenfelder Straße 69 - 71";"Remise";"Alteintragung (Aktualisierung vorgesehen)";"";"Alteintragung (Aktualisierung vorgesehen)";""
9648;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Brachenfelder Straße 80 a";"Zweigeschossiges Mehrfamilien-Wohnhaus";"Zweigeschossiges Mehrfamilien-Wohnhaus, 1909, Gottfried Wiese, symmetrisch angelegter, teilverklinkerter  Putzbau mit  zwei giebelständigen Seitenrisaliten und ausgebautem Mansarddach";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/9648.jpg"
15321;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Brachenfelder Straße 96 - 98";"Doppelwohnhaus";"Doppelwohnhaus, 1911/12, Bautechniker N. Feller, eingeschossiger Rauputzbau mit Mansarddach, Fassade gegliedert durch die in der Mitte gepaarten übergiebelten Risalite mit flachrunden Standerkern und Altan";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15321.jpg"
29254;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Brückenstraße";"Brückendrehscheibe";"Alteintragung (Aktualisierung vorgesehen)";"";"Alteintragung (Aktualisierung vorgesehen)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/29254.jpg"
29255;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Brückenstraße";"Ringlokschuppen";"Alteintragung (Aktualisierung vorgesehen)";"";"Alteintragung (Aktualisierung vorgesehen)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/29255.jpg"
29256;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Brückenstraße";"Werkstatt- und Verwaltungsgebäude";"Alteintragung (Aktualisierung vorgesehen)";"";"Alteintragung (Aktualisierung vorgesehen)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/29256.jpg"
29257;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Brückenstraße";"Lokleitungsgebäude";"Alteintragung (Aktualisierung vorgesehen)";"";"Alteintragung (Aktualisierung vorgesehen)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/29257.jpg"
29258;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Brückenstraße";"Kohlenbansen";"Alteintragung (Aktualisierung vorgesehen)";"";"Alteintragung (Aktualisierung vorgesehen)";""
29259;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Brückenstraße";"Bahnschuppen";"Alteintragung (Aktualisierung vorgesehen)";"";"Alteintragung (Aktualisierung vorgesehen)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/29259.jpg"
29260;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Brückenstraße";"Gleisanlagen mit Betriebstechnik";"Alteintragung (Aktualisierung vorgesehen)";"";"Alteintragung (Aktualisierung vorgesehen)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/29260.jpg"
15306;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Carlstraße 1";"Villa Gloy";"Villa Gloy; 1896; Magnus Schlichting für Gastwirt Johann Gloy; zweigeschossiger Putzbau unter flachem Walmdach, Straßenfront belebt durch Seitenrisalit und Altan mit ornamentierter Steinbrüstung, Fassadendekor in Neorenaissanceformen; schmiedeeiserner Zaun zwischen gemauerten Pfeilern als Grundstückseinfriedung";"Geschichtlich, Künstlerisch, Städtebaulich";"Villa Gloy, Einfriedung";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15306.jpg"
9147;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Carlstraße 11";"Villa Bracker";"Villa Bracker; 1901; Architekt Mehrens; zweigeschossiger Putzbau unter flachem Walmdach, Straßenfront belebt durch Seitenrisalit und Altan mit ornamentierter Steinbrüstung, Fassadendekor aus stileklektizistischen, vegetabilen Formen";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/9147.jpg"
15331;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Carlstraße 19";"Wohnhaus";"Wohnhaus; 1900; Carl Otto Göttsche; zweigeschossiger Putzbau unter Walmdach mit der Renaissance entlehnten Putzzierelementen, an der Nordseite mittiger Altan und Zwerchhaus, an der Westseite Kastenerker und Zwerchhaus; Gebäudeecke durch halbrunden Ladenvorbau von 1932 aufgelöst";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15331.jpg"
2648;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Carlstraße 23";"Eisenzaun";"Eisenzaun; 1904; Hans Roß; Ziergitter aus dekorativen Verstäbungen und Knoten auf verputztem gerundetem Sockel, der zum Eingang hin geschweift in die Pfosten überleitet";"Geschichtlich, Künstlerisch";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/2648.jpg"
15326;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Carlstraße 63";"Logenhaus";"Logenhaus; ehem. Kontorhaus; 1921/22 von Behrens und Sohn; 1931 Umgestaltung zu Logenhaus durch Emil Wittig;  eineinhalbgeschossiger Backsteinbau unter Walmdach in sachlicher Formensprache, Fassade betont von vier in der Mitte angeordneten breiten Fensterblenden mit gestuften Gewänden, an der Nordseite übergiebelter Eingangsrisalit";"Geschichtlich, Künstlerisch";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15326.jpg"
3442;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Carlstraße 66";"Villa Moll";"Alteintragung (Aktualisierung vorgesehen)";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/3442.jpg"
3443;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Carlstraße 169";"Villa Sager";"Alteintragung (Aktualisierung vorgesehen)";"";"Alteintragung (Aktualisierung vorgesehen)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/3443.jpg"
10632;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Carlstraße 169";"Nördliches Torhaus";"Alteintragung (Aktualisierung vorgesehen)";"";"Alteintragung (Aktualisierung vorgesehen)";""
10633;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Carlstraße 169";"Südliches Torhaus";"Alteintragung (Aktualisierung vorgesehen)";"";"Alteintragung (Aktualisierung vorgesehen)";""
2633;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Carlstraße 183";"Villa Leissner-Sager";"Villa Leissner-Sager; 1928, Friedrich Wilhelm Hain sen.; zweigeschossiger traufenständiger Backsteinbau unter zur Straße abgeschlepptem auskragendem Satteldach, gegliedert durch Lisenen und Ziegelrustika; Garten";"Geschichtlich, Künstlerisch, Städtebaulich";"Villa Leissner-Sager, Villengarten";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/2633.jpg"
13729;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Christianstraße 9";"Landeszentralbank";"Landeszentralbank, 1952/53, Bauamt der Landeszentralbanken von Niedersachsen, Hamburg und Schleswig-Holstein, zweigeschossiger Backsteinbau auf Sandsteinsockel unter Walmdach mit nordwestlichem, eingeschossigem Flügelbau";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/13729.jpg"
3460;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Christianstraße 11";"Anscharkirche";"Alteintragung (Aktualisierung vorgesehen)";"Geschichtlich, Künstlerisch, Städtebaulich";"Alteintragung (Aktualisierung vorgesehen)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/3460.jpg"
8964;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Christianstraße 29";"Villa Kracht";"Villa Kracht, 1882, Magnus Schlichting, für Tuchfabrikant Heinrich Kracht, kubischer zweigeschossiger Villenbau aus Backstein mit Putzelementen unter Zeltdach";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/8964.jpg"
15195;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Christianstraße 87 - 89";"Mietwohnungshaus";"Mietwohnungshaus; 1926/27; Paul Reese; dreigeschossige Eckbebauung mit expressionistischer Backsteinfassade unter Walm- und ausgebautem Satteldach. Gebäudeecke durch portalmäßigen Eingang, auskragenden breiten Kastenerker und geschwungenen Ziergiebel ausgezeichnet";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15195.jpg"
15260;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Christianstraße";"Wasserturm";"Wasserturm; 1899/1900; von Fachwerkkonstruktion ummantelter runder Hochbehälter unter flachem Kegeldach mit Lüftungslaterne auf sich verjüngendem zylindrischen Schaft";"Geschichtlich, Städtebaulich, Technisch";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15260.jpg"
15126;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Dorfstraße 5";"Christuskirche";"Christuskirche; 1934/35, Friedrich Wilhelm Hain sen.; 1959 Erweiterung und Umgestaltung durch Friedrich Wilhelm Hain jun.; schlichter Kalksandsteinbau mit Backsteinverblendung unter Walmdach, auf dem südlichen Firstende über dem eingezogenen Chor Dachreiter, nordwestlich eingeschossiger Eingangstrakt mit Vor- und Jugendraum; am Eingangstrakt Mahnmal für den Zweiten Weltkrieg, Kruzifixrelief in Sandstein, 1953 von Halbhuber; von Feldsteinmauer eingefasste Grünfläche an der Dorfstraße";"Geschichtlich, Künstlerisch, Städtebaulich";"Christuskirche, Mahnmal Zweiter Weltkrieg, Vorplatz, Feldsteinmauer";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15126.jpg"
21688;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Dorfstraße 21";"Altes Schulhaus";"Altes Schulhaus; 1907; zweigeschossiger, traufenständiger Backsteinbau mit Putzzierfeldern unter Schopfwalmdach, Straßenfassade mit wenig hervortretendem Mittelrisalit mit Fachwerkgiebel";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/21688.jpg"
15147;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Ehndorfer Straße 2 - 4";"Mietwohnungshaus";"Mietwohnungshaus; 1926; Paul Reese; dreigeschossiger Backsteinbau unter Walmdach in verhalten expressionistischer Gestaltung, hervorgehobene Eckausbildung mit Stufengiebel zwischen polygonalen Ecktürmchen";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15147.jpg"
7309;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Einfelder Schanze 14";"Vollmeilenstein";"Alteintragung (Aktualisierung vorgesehen)";"Geschichtlich, Kulturlandschaftlich, Wissenschaftlich";"gesamtes Objekt";""
15528;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Färberstraße 24";"Wohn- und Geschäftshaus";"Wohn- und Geschäftshaus; 1924; August Silbertoff für Tuchgroßhändler Hans Kähler; zweigeschossiger Backsteinbau unter teilweise ausgebautem Walmdach in barockisierendem Heimatschutzstil mit Volutengiebeln und Runderkern";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15528.jpg"
3444;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Färberstraße 25";"Wilhelm-Tanck-Schule";"Alteintragung (Aktualisierung vorgesehen)";"Geschichtlich, Künstlerisch";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/3444.jpg"
15349;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Färberstraße 32";"Mietwohnungshaus";"Mietwohnungshaus; 1926; Emil Wittig; dreigeschossiges Backstein-Eckgebäude unter ausgebautem, gaubenbesetztem Mansarddach, Fassadengliederung durch gleichmäßig gereihte Fenster und Ziegeldekor";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15349.jpg"
15539;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Färberstraße 35";"Mietwohnungshaus";"Mietwohnungshaus; 1911/12; Maurermeister H. Banser; viergeschossiger Backsteinbau unter Kieler Dach, symmetrische Straßenfassade mit barockisierenden Details in der Formgebung der Heimatschutzarchitektur";"Geschichtlich, Städtebaulich";"Mietwohnungshaus, Vorgartenzaun";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15539.jpg"
15373;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Färberstraße 47";"Villa Fehrs";"Villa Fehrs; 1908, Maurermeister Hans Fehrs; eingeschossiger Rauputzbau unter ausgebautem Mansarddach in Biberschwanzdeckung; an der Straßenfront übergiebelter Seitenrisalit mit flachrundem Standerker mit Altan";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15373.jpg"
13451;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Färberstraße 51";"Villa Silbertoff";"Villa Silbertoff; 1927, August Silbertoff; zweigeschossiger Backsteinbau unter ausgebautem Walmdach, Straßenfront mit Mitteleingang, linkes Obergeschoss halbrunder Erker, Vorgarteneinfriedung";"Geschichtlich, Künstlerisch";"Villa Silbertoff, Einfriedung";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/13451.jpg"
3445;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Feldstraße 20";"Mietwohnungshaus";"Mietwohnungshaus; 1927/28, Stadtbaurat Carl Lembke; dreigeschossiger Backsteinbau unter vorkragendem Walmdach, gegliedert durch schmalen überhöhten Standerker, vorgezogene rechteckige Türrahmungen aus Kunststein mit darüber aufsteigenden Treppenhaus-Fensterbändern, Stegrustikazonen";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/3445.jpg"
3446;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Feldstraße 24";"Mietwohnungshaus";"Mietwohnungshaus; 1927/28, Stadtbaurat Carl Lembke; dreigeschossiger Backsteinbau unter vorkragendem Walmdach, gegliedert durch schmalen überhöhten Standerker, vorgezogene rechteckige Türrahmungen aus Kunststein mit darüber aufsteigenden Treppenhaus-Fensterbändern, Stegrustikazonen";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/3446.jpg"
3447;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Feldstraße 30 - 38";"Mietwohnungshauszeile";"Mietwohnungshauszeile; 1927/28, Stadtbaurat Carl Lembke; dreigeschossiger Backsteinzeilenbau unter vorkragendem Walmdach, gegliedert durch schmalen überhöhten Standerker, vorgezogene rechteckige Türrahmungen aus Kunststein mit darüber aufsteigenden Treppenhaus-Fensterbändern, Stegrustikazonen";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/3447.jpg"
3448;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Feldstraße 31";"Wohn- und Geschäftshaus";"Alteintragung (Aktualisierung vorgesehen)";"";"Alteintragung (Aktualisierung vorgesehen)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/3448.jpg"
3449;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Feldstraße 33 - 55";"Mietwohnungshauszeile";"Alteintragung (Aktualisierung vorgesehen)";"";"Alteintragung (Aktualisierung vorgesehen)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/3449.jpg"
9347;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Feldstraße 40 - 48";"Mietwohnungshauszeile";"Mietwohnungshauszeile; 1927/28, Stadtbaurat Carl Lembke; dreigeschossiger Backsteinzeilenbau unter vorkragendem Walmdach, gegliedert durch schmale überhöhte Standerker, vorgezogene rechteckige Türrahmungen aus Kunststein mit darüber aufsteigenden Treppenhaus-Fensterbändern, Stegrustikazonen";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/9347.jpg"
3450;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Feldstraße 50 - 56";"Mietwohnungshauszeile Feldstraße 50-56, Plöner Straße 77-83";"Mietwohnungshauszeile; 1927/28, Stadtbaurat Carl Lembke; u-förmiger dreigeschossiger Backsteinzeilenbau unter vorkragendem Walmdach, gegliedert durch schmalen überhöhten Standerker, vorgezogene rechteckige Türrahmungen aus Kunststein mit darüber aufsteigenden Treppenhaus-Fensterbändern, Stegrustikazonen";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/3450.jpg"
9348;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Feldstraße 57 - 63";"Mietwohnungshauszeile";"Alteintragung (Aktualisierung vorgesehen)";"";"Alteintragung (Aktualisierung vorgesehen)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/9348.jpg"
15285;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Franz-Rohwer-Platz 13 - 15";"Neuapostolische Kirche";"Neuapostolische Kirche; 1954; Hans Hohmann; von Walmdach abgeschlossener Backsteinbau über leicht gekrümmtem Grundriss, Straßenfassade dominiert von zehn hochrechteckigen Bleiglasfenstern in weiß gefasstem Betonraster";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15285.jpg"
15054;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Franz-Rohwer-Platz";"Transformatorenhaus";"Tranformatorenhaus; 1938; Stadtbauamt Neumünster; konkav-konvex geschwungener Backsteinbau unter auskragendem Flachdach, Mauerwerk mit Rustizierungen, seitliche Wangenmauern";"Geschichtlich, Städtebaulich, Technisch";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15054.jpg"
6742;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Franz-Rohwer-Straße 6";"Villa Hungerberg";"Villa Hungerberg, 1897, Maurermeister A. Behrens; zweigeschossiger Putzbau in spätklassizistischer Formgebung, schiefergedecktes flaches Walmdach";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/6742.jpg"
