"Bescheid-Nr.
Notice-no."; "Bezeichnung des Stoffes oder Gegenstandes
Name (trade name) of the substance or article"; "Identifikation
Identification"; "Lagergruppe+Verträglichkeitsgruppe
Storage group+compatibility group"; "Sicherheitsrelevante Verpackungsmerkmale
Safety-relevant packaging characteristics (some only in German)"
"II.3/4769/04"; "Kurzzeitzündeinrichtung EXEL MS"; "BAM-ZNE-016"; "1.4B"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Innen:
Nicht mehr als 10 Gegenstände, deren Zünder in  Verpackungsschuhen aus Kunststoff stecken, sind in Alfosäcken als Innenverpackung verpackt.
Die Abstände zwischen den Röhrchen zur Aufnahme der Zünder und ihre Wanddicke müssen mindestens denen des Verpackungsschuhs gemäß Zeichnung Nr. Z1309 entsprechen.

Außen:
Nicht mehr als 10 Innenverpackungen in Kisten aus Pappe (4G).

Alternativ:

Innen:             Faltschachtel aus Pappe
Außen:            Kisten aus Pappe (4G)

Zwischen den maximal 4 Innenverpackungen und der Außenverpackung befinden sich HDF-Platten (nach EN 622-5) mit mindestens 5 mm Dicke, die Innenverpackungen untereinander sind durch eine oder zwei Platten der gleichen Qualität, mit einer Gesamtdicke von mindestens 10 mm getrennt. Eine Innenverpackung enthält maximal 20 Gegenstände.

Alternativ:

Innen:              Alfosäcke
Außen:            Kisten aus Pappe (4G)

Zwischen den maximal 8 Alfosäcken und der Außenverpackung befinden sich HDF-Platten (nach EN 622-5) mit mindestens 5 mm Dicke, die Alfosäcke (1 oder 2 Stück) sind durch jeweils eine oder zwei Platten der gleichen Qualität, mit einer Gesamtdicke von mindestens 10 mm getrennt."
"II.3/4770/04"; "Langzeitzündeinrichtung EXEL LP"; "BAM-ZNE-017"; "1.4B"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Innen:
Nicht mehr als 10 Gegenstände, deren Zünder in  Verpackungsschuhen aus Kunststoff stecken, sind in Alfosäcken als Innenverpackung verpackt.
 Die Abstände zwischen den Röhrchen zur Aufnahme der Zünder und ihre Wanddicke müssen mindestens denen des Verpackungsschuhs gemäß Zeichnung Nr. Z1309 entsprechen.

Außen:
Nicht mehr als 10 Innenverpackungen in Kisten aus Pappe (4G).

Alternativ:

Innen:             Faltschachtel aus Pappe
Außen:            Kisten aus Pappe (4G)

Zwischen den maximal 4 Innenverpackungen und der Außenverpackung befinden sich HDF-Platten (nach EN 622-5) mit mindestens 5 mm Dicke, die Innenverpackungen untereinander sind durch eine oder zwei Platten der gleichen Qualität, mit einer Gesamtdicke von mindestens 10 mm getrennt. 
Eine Innenverpackung enthält maximal 20 Gegenstände.

Alternativ:

Innen:              Alfosäcke
Außen:            Kisten aus Pappe (4G)

Zwischen den maximal 8 Alfosäcken und der Außenverpackung befinden sich HDF-Platten (nach EN 622-5) mit mindestens 5 mm Dicke, die Alfosäcke (1 oder 2 Stück) sind durch jeweils eine oder zwei Platten der gleichen Qualität, mit einer Gesamtdicke von mindestens 10 mm getrennt."
"II.3/4771/04"; "Kurzzeitzündeinrichtung EXEL HANDIDET"; "BAM-ZNE-018"; "1.4B"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Innen:
Nicht mehr als 10 Gegenstände, deren Zünder in  Verpackungsschuhen aus Kunststoff stecken, sind in Alfosäcken als Innenverpackung verpackt. 
Die Abstände zwischen den Röhrchen zur Aufnahme der Zünder und ihre Wanddicke müssen mindestens denen des Verpackungsschuhs gemäß Zeichnung Nr. Z1309 entsprechen.

Außen:
Nicht mehr als 10 Innenverpackungen in Kisten aus Pappe (4G).

Alternativ:

Innen:             Faltschachtel aus Pappe
Außen:            Kisten aus Pappe (4G)

Zwischen den maximal 4 Innenverpackungen und der Außenverpackung befinden sich HDF-Platten (nach EN 622-5) mit mindestens 5 mm Dicke, die Innenverpackungen untereinander sind durch eine oder zwei Platten der gleichen Qualität, mit einer Gesamtdicke von mindestens 10 mm getrennt. Eine Innenverpackung enthält maximal 20 Gegenstände.

Alternativ:

Innen:              Alfosäcke
Außen:            Kisten aus Pappe (4G)

Zwischen den maximal 8 Alfosäcken und der Außenverpackung befinden sich HDF-Platten (nach EN 622-5) mit mindestens 5 mm Dicke, die Alfosäcke (1 oder 2 Stück) sind durch jeweils eine oder zwei Platten der gleichen Qualität, mit einer Gesamtdicke von mindestens 10 mm getrennt."
"II.3/2999/05"; "Anzündschnur PL5"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/3000/05"; "Anzündschnur PL6"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/3001/05"; "Anzündschnur PL8"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/3002/05"; "Anzündschnur PL10"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1922/05"; "Verzögerungskörper Sealer Element"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/2672/05"; "Nicht elektrische Zünder 
DAVEYNEL oder
DAVEYNEL 2"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/2673/05"; "Nicht elektrische Zündverzögerer 
DAVEYNEL oder
DAVEYNEL 2"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/2674/05"; "Kombinationen nicht elektrischer Zünder und Zündverzögerer 
DAVEYQUICK Systeme oder
DAVEYQUICK 1 Systeme oder
DAVEYQUICK 2 Systeme"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1471/05"; "Sprengmomentzünder DYNADET-Cu-A-0ms"; ""; "1.4B"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1473/05"; "Sprengkurzzeitzünder DYNADET-Cu-A-30ms"; ""; "1.4B"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1475/05"; "Sprenglangzeitzünder DYNADET-Cu-A-250ms"; ""; "1.4B"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1372/05"; "Treibladungspulver SP 3"; ""; "1.3C"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Innen:
     Säcke aus
        Kraftpapier
        Kunststoff
        Kunststoffgewebe,staubdicht
        Textilgewebe, staubdicht

Zwischen:
     Nicht erforderlich

Außen:
     Fässer aus
        Pappe (1G)

Die Nettoexplosivstoffmasse je Versandverpackung darf 50 kg nicht überschreiten."
"II.3/1373/05"; "Treibladungspulver PCL 504"; ""; "1.3C"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Innen:
     Säcke aus
        Kraftpapier
        Kunststoff
        Kunststoffgewebe,staubdicht
        Textilgewebe, staubdicht

Zwischen:
     Nicht erforderlich

Außen:
     Fässer aus
        Pappe (1G)

Die Nettoexplosivstoffmasse je Versandverpackung darf 20 kg nicht überschreiten."
"II.3/1554/05"; "Treibladungspulver A0"; ""; "1.3C"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Innen:
             Behälter  aus
                  Kunststoff
                  Pappe
Zwischen:
             Nicht erforderlich
Außen:
             Kisten aus
                  Pappe (4G)
Die Nettoexplosivstoffmasse je Innenverpackung darf 1000 g nicht überschreiten."
"II.3/1555/05"; "Treibladungspulver A1"; ""; "1.3C"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Innen:
             Behälter  aus
                  Kunststoff
                  Pappe
Zwischen:
             Nicht erforderlich
Außen:
             Kisten aus
                  Pappe (4G)
Die Nettoexplosivstoffmasse je Innenverpackung darf 1000 g nicht überschreiten."
"II.3/1556/05"; "Treibladungspulver AS"; ""; "1.3C"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Innen:
             Behälter  aus
                  Kunststoff
                  Pappe
Zwischen:
             Nicht erforderlich
Außen:
             Kisten aus
                  Pappe (4G)
Die Nettoexplosivstoffmasse je Innenverpackung darf 1000 g nicht überschreiten."
"II.3/1557/05"; "Treibladungspulver SP13"; ""; "1.3C"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Innen:
             Behälter  aus
                  Kunststoff
                  Pappe
Zwischen:
             Nicht erforderlich
Außen:
             Kisten aus
                  Pappe (4G)
Die Nettoexplosivstoffmasse je Innenverpackung darf 1000 g nicht überschreiten."
"II.3/1324/05"; "Anzündschnur DM41"; "EG-Baumusterprüf-bescheinigung Nr. 0589.EXP.1321/05"; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1549/05"; "Transportversion-HRD-Löscher"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1578/05"; "Sprengmomentzünder DYNASEIS-U-0ms5A"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1579/05"; "Sprengmomentzünder DYNASEIS-UD-0ms5A"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1580/05"; "Sprengmomentzünder DYNADET-A-0ms"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1581/05"; "Sprengkurzzeitzünder DYNADET-A-25ms"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1582/05"; "Sprenglangzeitzünder DYNADET-A-250ms"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1583/05"; "Sprenglangzeitzünder DYNADET-A-500ms"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1584/05"; "Sprengmomentzünder DYNADET-HU-0ms"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1585/05"; "Sprengkurzzeitzünder DYNADET-HU-25ms"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1586/05"; "Sprenglangzeitzünder DYNADET-HU-100ms"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1587/05"; "Sprenglangzeitzünder DYNADET-HU-250ms"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1588/05"; "Sprengmomentzünder DYNADET-TE-0ms"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1589/05"; "Sprengkurzzeitzünder DYNADET-TE-25ms"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1590/05"; "Sprenglangzeitzünder DYNADET-TE-250ms"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1591/05"; "Sprenglangzeitzünder DYNADET-TE-500ms"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1592/05"; "Sprengmomentzünder DYNADET-U-0ms"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1593/05"; "Sprengkurzzeitzünder DYNADET-U-25ms"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1594/05"; "Sprenglangzeitzünder DYNADET-U-100ms"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1595/05"; "Sprenglangzeitzünder DYNADET-U-250ms"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1596/05"; "Sprenglangzeitzünder DYNADET-U-500ms"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1597/05"; "Sprengkurzzeitzünder DYNADET-VA-25ms"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1378/05"; "Zünder OSD (Orica Seismic Detonator)"; ""; "1.1B"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1380/05"; "Zünder OSD (Orica Seismic Detonator)"; ""; "1.4B"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1269/05"; "Treibladungspulver HODGDON H 4831 SC"; ""; "1.3C"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Innen:
      Behälter aus
          Kunststoff
Zwischen
      Nicht erforderlich
Außen
      Kisten aus
         Pappe (4G)
Die Nettoexplosivstoffmasse je Innenverpackung darf 500 g nicht überschreiten."
"II.3/1132/05"; "Zünder UNI Tronic Detonator 235"; ""; "1.4S"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Innen:
          Säcke aus
              antistatischem Kunststoff, 
              jeder Sack enthält nicht mehr
              als 160 elektrische Zünder

Zwischen:
          Käfig aus
               galvanisiertem Stahldraht, 
               Drahtdurchmesser nicht
               kleiner als 0,9 mm, mit
               Maschenöffnung nicht
               größer als 13 mm x 13 mm
Jeder Käfig enthält nur eine  Innenverpackung.

Außen:
          Kiste aus
               Pappe (4G)
Jede Kiste enthält nur eine Zwischenverpackung."
"II.3/0880/05"; "Schneidschnur DECOUPEX"; "EG-Baumusterprüf-bescheinigung
Nr. 0080.EXP.02.0108"; "1.1D"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/0881/05"; "Kidde Graviner Schneidschnur 5"""; "EG-Baumusterprüf-bescheinigung
Nr. 0589.EXP.1171/03"; "1.1D"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1050/05"; "DETONATOR DR7009"; "EG-Baumusterprüf-bescheinigung
Nr. 0589.EXP.4397/02"; "1.4S"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Innen:
     Dickwandige Behälter aus
        Aluminium für je 1 Detonator
Zwischen:
     Nicht erforderlich
Außen:
     Kisten"
"II.3/1051/05"; "DETONATOR DR7009"; "EG-Baumusterprüf-bescheinigung
Nr. 0589.EXP.4397/02"; "1.1B"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/0874/05"; "Mischung aus Metallspänen, TNT und Wasser
Wassergehalt mind. 4 Masse-%"; ""; "1.4D"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Innen:
     Säcke aus
        Kunststoff
Zwischen:
     Nicht erforderlich
Außen:
     Fässer aus
         Kunststoff mit abnehmbarem Deckel (1H2)"
"II.3/0841/05"; "Igniter V16a"; ""; "1.1B"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/0842/05"; "Zünder nz 20 / nz 21 ohne Booster"; ""; "1.1B"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/0843/05"; "Booster nz 20 / nz 21"; ""; "1.1D"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/0844/05"; "Zündschraube KV-4"; ""; "1.3G"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/0845/05"; "Geschosse mit Leuchtspur bzw. Brandsatz Kal. 12,7 mm bis 18 mm"; ""; "1.4G"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1016/05"; "Zünder i-kon Detonator RX"; "EG-Baumusterprüf-bescheinigung
Nr. 0589.EXP.1098/05"; "1.4B"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1017/05"; "Zünder i-kon Detonator RX"; "EG-Baumusterprüf-bescheinigung
Nr. 0589.EXP.1098/05"; "1.4B"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Innen:
      Nicht mehr als 120 Zünder in 
      vier Lagen, jeweils getrennt durch
      eine Papplage

Zwischen:      
      Nicht erforderlich

Außen:      
      Kiste aus Pappe (4G)"
"II.3/0823/05"; "Treibladungspulver D 698"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/0824/05"; "Treibladungspulver D 699"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/0334/05"; "Raketentreibstoff, ausgedüst"; "(Analysenprotokoll 90/02 vom 21.01.03, Labor Hadinek)"; "1.4C"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Innen: 
        Säcke aus
            Kunststoff

Zwischen:
        Säcke aus
            Kunststoff

Außen:
        Fässer aus
            Pappe (1G)
            Kunststoff mit abnehmbarem
            Deckel (1H2)
        Kisten aus
            Pappe (4G)

(Bei der Verwendung von Fässern aus Kunststoff wird keine Zwischenverpackung gebraucht)"
"II.3/0372/05"; "Blanke wasserdichte Zündschnur, Brenndauer 150 s/m"; "EG-Baumusterprüf-bescheinigung Nr. 0589.EXP.0369/05"; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/0641/05"; "Initiators, DEE7050"; ""; "1.4S"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:

Innen:
        Einsätze aus Kunststoff mit 
        Zwischenlagen aus Pappe,
        mit nicht mehr als 200 Anzündern
        in einem Raster bis zu 10x20

Zwischen:
        Kiste aus Stahl mit Löchern, nicht 
        dünner als 1 mm und Öffnungen 
        nicht kleiner als 5 mm Durchmesser, 
        mit einer Innenverpackung und mit 
        Stahldraht gesichert
   
Außen:
        Kisten aus Pappe (4G),  
        mit 1 Zwischenverpackung"
"II.3/0642/05"; "Initiators, DEG7050"; ""; "1.4S"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:

Innen:
        Einsätze aus Kunststoff mit 
        Zwischenlagen aus Pappe,
        mit nicht mehr als 200 Anzündern
        in einem Raster bis zu 10x20

Zwischen:
        Kiste aus Stahl mit Löchern, nicht 
        dünner als 1 mm und Öffnungen 
        nicht kleiner als 5 mm Durchmesser, 
        mit einer Innenverpackung und mit 
        Stahldraht gesichert
   
Außen:
        Kisten aus Pappe (4G),  
        mit 1 Zwischenverpackung"
"II.3/0644/05"; "Initiators, DLB7010"; ""; "1.4S"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:

Innen:
        Einsätze aus Kunststoff mit 
        Zwischenlagen aus Pappe,
        mit nicht mehr als 200 Anzündern
        in einem Raster bis zu 10x20

Zwischen:
        Kiste aus Stahl mit Löchern, nicht 
        dünner als 1 mm und Öffnungen 
        nicht kleiner als 5 mm Durchmesser, 
        mit einer Innenverpackung und mit 
        Stahldraht gesichert
   
Außen:
        Kisten aus Pappe (4G),  
        mit 1 Zwischenverpackung"
"II.3/1308/05"; "Initiators, DLE7010"; ""; "1.4S"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:

Innen:
        Einsätze aus Kunststoff mit 
        Zwischenlagen aus Pappe,
        mit nicht mehr als 200 Anzündern

Zwischen:
        Kiste aus Stahl mit Löchern, nicht 
        dünner als 1 mm, gesichert mit 
        Stahldraht, mit nicht mehr als 5 
        Innenverpackungen eingewickelt 
        in Papier
   
Außen:
        Kisten aus Pappe (4G),  
        mit 1 Zwischenverpackung"
"II.3/1870/05"; "Initiators, DEE6050"; ""; "1.4S"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:

Innen:
        Einsätze aus Kunststoff, mit nicht 
        mehr als 200 Anzündern in einem 
        Raster bis zu 10x20

Zwischen:
       2 Beutel aus hitzebeständigem
       Glasfasergewebe mit nicht mehr
       als 5 Innenverpackungen

Außen:
       Kisten aus Pappe (4G),  
       mit nicht mehr als 1 Zwischenver-
       packung, umschlossen in einem 
       Stahlgeflecht mit nicht weniger als 
       1.2 mm Drahtstärke"
"II.3/1909/05"; "Initiators, DZA7050"; ""; "1.4G"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:

Innen:
       Einsätze aus Kunststoff, mit nicht 
       mehr als 90 Anzündern in einem 
       Raster bis zu 6x15

Zwischen:
       Nicht erforderlich

Außen:
       Kisten aus Pappe (4G), 
       mit nicht mehr als 4 Innenver-
       packungen"
"II.3/0351/05"; "TNT-Booster T-160"; ""; "1.1D"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1155/05"; "Zünder Electric Detonator DYNAWELL 1020"; "EG-Baumusterprüf-bescheinigung
Nr. 0080.EXP.05.0015"; "1.1B"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1156/05"; "Zünder Electric Detonator DYNAWELL 1020"; "EG-Baumusterprüf-bescheinigung
Nr. 0080.EXP.05.0015"; "1.4B"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Innen:
            Kisten aus Pappe mit
            Pappröhren zur Aufnahme
            je eines Zünders
Zwischen:
            Nicht erforderlich
Außen:
            Kisten aus Pappe (4G)"
"II.3/1157/05"; "Zünder Electric Detonator DYNAWELL 1020"; "EG-Baumusterprüf-bescheinigung
Nr. 0080.EXP.05.0015"; "1.4S"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Innen:
            Maximal 50 Zünder in
            einem Aufnahmeblock aus
            Sperrholz mit Bohrungen
Zwischen:
             Nicht erforderlich
Außen:
             Ein Aufnahmeblock in
             einer Kiste aus Stahl (4A)
Die Verpackung entspricht dem Zeichnungssatz K 557."
"II.3/0094/05"; "Gassatz 3110 / Tabletten"; "EG-Baumusterprüf-bescheinigung
Nr. 0589.EXP.0086/05"; "1.3G"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/0096/05"; "AIM (Auto-Ignition-Material)"; "EG-Baumusterprüf-bescheinigung
Nr. 0589.EXP.0088/05"; "1.3G"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/0307/05"; "Gassatz 3110 / Granulat"; "EG-Baumusterprüf-bescheinigung
Nr. 0589.EXP.0305/05"; "1.3G"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/0049/05"; "Mischung aus RDX/TNT/AL/Wachs (40/40/15/5)"; ""; "1.1D"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/0083/05"; "Sprengkapsel, geladen für i-kon Detonatoren"; ""; "1.1B"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/5323/04"; "Anzündschnur Safety fuse M700"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/5336/04"; "Sprengstoff Composition B 4,2"""; ""; "1.1D"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/5366/04"; "Kurzzeitzündeinrichtung EXEL Connectadet"; "BAM-STV-008"; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/5369/04"; "Sprengzünder DYNASEIS-UD-0ms5A"; ""; "1.4B"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1775/04"; "Kurzzeitzündeinrichtung EXEL CONNECTADET"; "BAM-STV-008"; "1.4S"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Innen:
Bis zu 10 Gegenstände, deren Zündverzögerer in je einem Verbinderblock stecken, sind in Alfosäcken als Innenverpackung verpackt.

Außen:
Bis zu 10 Innenverpackungen in Kisten aus Pappe (4G)

Alternativ:

Innen:            Faltschachtel aus Pappe
Außen:           Kiste aus Pappe (4G)

Zwischen den maximal 4 Innenverpackungen und der Außenverpackung befinden sich HDF-Platten (nach EN 622-5) mit mindestens 5 mm Dicke, die Innenverpackungen untereinander sind durch eine oder zwei Platten der gleichen Qualität, mit einer Gesamtdicke von mindestens 10 mm getrennt.Eine Innenverpackung enthält maximal 20 Gegenstände.

Alternativ:

Innen:              Alfosäcke
Außen:             Kisten aus Pappe (4G)

Zwischen den maximal 8 Alfosäcken und der Außenverpackung befinden sich HDF-Platten (nach EN 622-5) mit mindestens 5 mm Dicke, die Alfosäcke (1 oder 2 Stück) sind durch jeweils eine oder zwei Platten der gleichen Qualität, mit einer Gesamtdicke von mindestens 10 mm getrennt."
"II.3/0327/05"; "Zünder Electric Detonator SYSTEM DYNAWELL 2026"; "Baumusterprüf-bescheinigung 
Nr. 0080.EXP.05.0001
Datenblatt TD ZB-P-15"; "1.4S"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Innen:
       Nicht mehr als 25 Zünder in einem
       Aufnahmeblock aus
       Sperrholz mit Bohrungen 

Zwischen: 
       Nicht erforderlich 

Außen:
       Ein Aufnahmeblock in
       einer Kiste aus Stahl (4A)

Die Verpackung entspricht dem Zeichnungssatz K 555."
"II.3/5226/04"; "Plastiksprengstoff Composition C4"; ""; "1.1D"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/5233/04"; "HE-Primer 137 oder
Primer 15"; ""; "1.1D"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/0347/05"; "Zünder mit elektrischer, elektronischer oder nicht elektrischer Auslösung, welche zu Untersuchungen versandt werden"; "Die Zünder können beschädigt, defekt, zerstört oder nur in Fragmenten vorhanden sein."; "1.4S"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Innen:

Nicht mehr als 50 Zünder in einem Aufnahmeblock aus Sperrholz mit Bohrungen 

Außen:

Ein Aufnahmeblock in einer Kiste aus Stahl (4A)

Die Verpackung entspricht dem Zeichnungssatz K 558."
"II.3/5149/04"; "Hohlladung Shaped Charge DYNAWELL 8g DP TTG"; ""; "1.1D"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/5121/04"; "Zündverstärker Receiver Booster"; "Zeichnungsnummer ZB-P-16"; "1.4S"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:

Innen:
Nicht mehr als 100 Zündverstärker sind in Löcher in mindestens 27 mm dicken Schaumstoffplatten aus Polyethylen oder Polyurethan zu stecken. Die Zündverstärker müssen untereinander einen seitlichen Mindestabstand von 18 mm haben. Zwei dieser Schaumstoffplatten befinden sich in der Außenverpackung.

Zwischen:
Zwischen den Platten sowie über der oberen und unter der unteren Platte muss sich je eine mindestens 15 mm dicke Schaumstoffplatte ohne Löcher aus Polyethylen oder Polyurethan befinden.

Außen:
Kisten aus: Pappe (4G)"
"II.3/5030/04"; "Schneidschnur Charge for LOX"; ""; "1.1D"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Innen:
    Schaumstoffblock

Zwischen:
    Nicht erforderlich

Außen:
    Kisten aus Aluminium (4B)"
"II.3/5031/04"; "Schneidschnur Charge for LH2"; ""; "1.1D"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Innen:
    Schaumstoffblock

Zwischen:
    Nicht erforderlich

Außen:
    Kisten aus Aluminium (4B)"
"II.3/5032/04"; "Anzünder Allumeur"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/5033/04"; "Übertragungselement 8LTSH"; ""; "1.4S"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Innen: 
    Sack aus Kunststoff/Aluminium

Zwischen:
    Nicht erforderlich

Außen: 
    Kiste aus starrem Kunststoff (4H2)"
"II.3/5034/04"; "Zündverteiler 3RMVH10 M5"; ""; "1.4S"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Innen: 
    Sack aus Kunststoff/Aluminium

Zwischen:
    Nicht erforderlich

Außen: 
    Kiste aus starrem Kunststoff (4H2)"
"II.3/5035/04"; "Verzögerungselement 4RPP20P"; ""; "1.4S"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Innen: 
    Sack aus Kunststoff/Aluminium

Zwischen:
    Nicht erforderlich

Außen: 
    Kiste aus starrem Kunststoff (4H2)"
"II.3/5036/04"; "Verzögerungselement 4RPP5P"; ""; "1.4S"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Innen: 
    Sack aus Kunststoff/Aluminium

Zwischen:
    Nicht erforderlich

Außen: 
    Kiste aus starrem Kunststoff (4H2)"
"II.3/5037/04"; "Zünder 1DPWH100A"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
