Titel;Stadtbezirk;Projektfamilie;Themenfeld;Nummer;Projektgeneration;Nordwärts-Prämiert;Status;Kurzbeschreibung;Straße;Hausnummer;Unterbezirk Nr.;Unterbezirk;Statistischer Bezirk Nr.;Statistischer Bezirk;Stadtbezirk Nr.;Stadtbezirk;Sozialraum Nr.;Sozialraum;Aktionsraum Nr;Aktionsraum;Ostwert;Hochwert;Geografische Koordinaten;Kommune
Hansa-Brückenzug;Huckarde;Ökologie;Infrastrukturen\Sport+Freizeit;521;B;;in Vorbereitung/Prüfung von Rahmenbedingungen/Projektskizze erstellt;"Öffnung des Bereiches um den Hansabrückenzug und Anbindung an das Fuß- und Radewegenetz

Sachstand 02/2018: Wird bei der Entwicklung des Grünzugs mit bearbeitet

Sachstand 02/2020: Der aktuelle Stand kann dem neuen Projektsteckbrief entnommen werden.

Sachstand 06/2021: Es konnte bislang keine Einigung bzgl. eines möglichen Besitzübergangs des Hansa-Brückenzug auf einen Dritten erzielt werden. Weiterhin wird das Ziel verfolgt, zur IGA 2027 die über den Brückenzug verlaufende Hansatrasse mit Schienenfahrzeugen als Teil des IGA-Gesamtkonzeptes zu befahren. Zusammen mit der Emschergenossenschaft wird an einer durchgängigen Fuß- und Radwegeverbindung unterhalb des Hansa-Brückenzugs gearbeitet.               

Sachstand Juni 2022: Verhandlungen mit thyssenkrupp bzgl. einer möglichen Übernahme der Gleistrasse durch die Bahnhof Mooskamp gGmbH. Parallel dazu werden Förderzugänge für innovative Antriebssysteme gesucht, die im Rahmen der IGA 2027 präsentiert werden sollen (u.a. Solartram).

Sachstand 04/2025: Für die Baumaßnahme Lückenschluss Emscher-Weg im Bereich des Hansa-Brückenzugs (Franziusstraße - Franz-Schlüter-Straße) liegt eine Förderzusage der Bez.Reg Arnsberg vor. Der vorzeitige Maßnahmenbeginn ist bewilligt. Der Baubeginn ist für Juli 2025 und die Fertigstellung bis Ende 2025 vorgesehen. Die Baumaßnahme wird durch die EGLV durchgeführt. Vor Beginn der Baumaßnahme wird noch ein Gestattungsvertrag zwischen der EGLV und der DB AG abgeschlossen. Vor Abschluss des Gestattungsvertrags kann die EGLV die Baumaßnahme nicht ausschreiben.";Franziusstraße;133;825;Insterburgsiedlung;820;Huckarde;8;Huckarde;111;Deusen/Huckarde;;;39538.681;579954.339999999;51.5300758687, 7.42195328282;Dortmund
"Hoeschpark ""Fit für die Zukunft"" - Ertüchtigung von Park, Wald, Freibad und Umfeld";IN-NORD;Ökologie;Infrastrukturen\Sport+Freizeit;922;B (2);;gestartet/läuft;"Maßnahmen zum Erhalt des unter Denkmalschutz stehenden Nordstadtparks. Erhaltung Waldbestand, Ertüchtigung Infrastruktureinrichtungen der Sportanlagen.

Sachstand 04/2018: Eine Bestandsanalyse zum Hoeschpark liegt vor. Ein Realisierungswettbewerb wird durchgeführt.

Sachstand 07/2019: Der bisherige Sachstand gilt unverändert weiter.

Sachstand 03/2020: Einige Maßnahmen und Vorschläge des Projektantrages 922 sind in die aktuellen Planungen des Amtes für Stadterneuerung zur Weiterentwicklung des Hoeschparks eingeflossen, z. B. Regulierung Grundwasserhaushalt im Waldbereich, Renovierung/Neubau von Umkleiden/Lagerraum, Modernisierung der gastronomischen Einrichtungen, vorgesehene Fläche für Urban Gardening.
 
Viele auch nicht, insbesondere
- Klimafreundliche und energiesparende Erneuerung/Weiterentwicklung des Freibads Stockheide
- Artenvielfalt im Park erhöhen
- Einrichtung eines freien WLan-Angebotes
- Ökologische Ausrichtung des Gewerbegebietes östlich des Hoeschparks
- Schulbiologisches Zentrum/Lerngarten
- Erarbeitung eines zukunftsweisenden Parkpflegewerks inkl. Betriebs- und Nutzungskonzept
- Ertüchtigung Leichtathletikanlage
 
Da der Freundeskreis Hoeschpark diese bisher nicht in Angriff genommenen Maßnahmen für die Zukunft des Parks weiterhin als sehr wichtig ansieht, würde er sich freuen, wenn diese im Rahmen des ""nordwärts""-Projekts weiterverfolgt bzw. von den zuständigen Verwaltungsstellen und politischen Gremien konkretisiert und umgesetzt werden. Der Freundeskreis Hoeschpark steht gerne unterstützend zur Verfügung.

Sachstand 07/2021: Die Umgestaltungsmaßnahmen im Hoeschpark werden unter der Leitung des Amtes für Stadterneuerung Dortmund in Kooperation mit den Sport- und Freizeitbetrieben durchgeführt.  Die Grünflächen sowie die bestehenden Gabäude werden zur Zeit umgestaltet und zum Teil neu errichtet. Mehrere Freiflächen werden umgestaltet und die Beleuchtung der Wege wird teilweise erneuert. Ziele der Maßnahmen sind unter anderem die Integration von Neu-Dortmunder*innen, die Gesundheitsförderung und die ökologische Aufwertung. 

Sachstand 08/2022: Das Projekt „Hoeschpark „Fit für die Zukunft“ – Kooperatives Management für Park, Wald, Freibad und Umfeld“ setzt sich aus mehreren Projektbausteinen zusammen. 
Einzelne bauliche Bausteine befinden sich in der Umsetzung oder sind bereits umgesetzt, wie z.B. die Schaffung von Angeboten auf den Freiflächen im Hoeschpark. Ein besonderer Schwerpunkt wurde damals darin gesehen, bürgerschaftliches Engagement zu fördern. Wünschenswert wäre es, wenn als innovatives Parkmanagement eine koordinierende Projektsteuerungsgruppe („Hoeschpark-Vorstand“) – bestehend aus Vertreter*innen unterschiedlicher Ressorts/Fachverwaltungen und und im Hoeschpark aktiven Vereinen – eingerichtet wird. Ebenso wäre aus unserer Sicht angesichts der Vielzahl der neuen Spiel- und Sportangebote die Aufstellung eines Parkpflegewerks/Parkmanagementplans sinnvoll. 
Viele Punkte sind noch offen oder befinden sich in der Anfangsphase der Entwicklung, wie z.B. ökologische und standortgerechte Weiterentwicklung des Brügmannshölzchens mit Teich, die Entwicklung eines gastronomischen Angebotes im Hoeschpark oder angedockt an das Freibad, die Modernisierung und Wiederöffnung des Freibads Stockheide, die Schaffung eines schulbiologischen Zentrums oder Urban Gardening-Projektes im Hoeschpark, Die Sicherung von ökologischen und energetischen Qualitätsstandards bei der Entwicklung der Westfalenhütten-Flächen bzw. Nutzung energetischer Potentiale für das Freibad, die Herstellung eines grünen Bogens „Green Urban Trail“.

Sachstand 6/2023: Im Hoeschpark läuft derzeit noch die Gebäudesanierung.
Bei der Ratssitzung im Juni wurde der Beschluss gefasst, dass die Stadt Dortmund den Betrag der erforderlichen Eigenmittel zur Sanierung des Freibads Stockheide zusätzlich zur Förderung bereitstellen will. Insofern gehen wir davon aus, dass die bauliche Sanierung hier bald startet.";Kirchderner Straße;35;062;Westfalenhütte;060;Borsigplatz;20;Innenstadt-Nord;023;Borsigplatz;023;Borsigplatz;395566.199999999;57947.659999999;51.5266805594, 7.49454567401;Dortmund
IKEA-Logistikzentrum auf der ehemaligen Westfalenhütte;IN-NORD;Ökonomie;Stadtentwicklung;730;A;;umgesetzt/abgeschlossen;"Auf der ehemaligen Westfalenhütte soll bis Frühjahr 2016 ein Logistikzentrum entstehen, von dem aus der französische Dienstleister ID Logistic die Online-Aktivitäten für Ikea abwickeln wird.

Sachstand 06/2018: Das IKEA-Logistikzentrum ist seit 2016 eröffnet.";Springorumstraße;29;062;Westfalenhütte;060;Borsigplatz;20;Innenstadt-Nord;023;Borsigplatz;023;Borsigplatz;395136.185;57997.99999998;51.5305311434, 7.4882214981;Dortmund
Integriertes Handlungskonzept Huckarde-Nord;Huckarde;Ökonomie;Stadtentwicklung;906;B (2);;umgesetzt/abgeschlossen;"Integriertes Stadtentwicklungskonzept als strategisches Steuerungsinstrument der Stadterneuerung.

Sachstand 01/2018: Es liegt noch keine Förderzusage zum Integrierten Handlungskonzept Huckarde-Nord vor. Als erste Maßnahme wird derzeit ein Freiraumkonzept für das Quartier erarbeitet.

Sachstand 07/2019: Der bisherige Sachstand gilt unverändert weiter.

Sachstand 02/2020: Der aktuelle Stand kann dem neuen Projektsteckbrief entnommen werden.

Sachstand 06/2021: Aufgrund der Planungen zur IGA 2027 wird das Integrierte Handlungskonzept Huckarde-Nord in 2021 fortgeschrieben.

Sachstand 07/2022: Die Fortschreibung des Integrierten Handlungskonzeptes wurde am 23.06.2022 vom Rat der Stadt Dortmund beschlossen.";Emscherallee;12;821;Mailoh;820;Huckarde;8;Huckarde;111;Deusen/Huckarde;;;389853.299999999;571189.6899999995;51.5401473331, 7.41172008471;Dortmund
Integriertes Handlungskonzept Westerfilde & Bodelschwingh;Mengede;Soziales;Aktionsplan Soziale Stadt;542;A;;gestartet/läuft;"In den nächsten zehn Jahren unterstützen soziale Projekte die Bewohner*innnen und stärken das Gemeinschaftsgefühl, durch Baumaßnahmen wird der Stadtteil aufgewertet.  

Sachstand 01/2018: Die Stadterneuerungsstrategie bündelt städtebauliche, soziale und imagefördernde Projekte, um den Stadtteil zu stabilisieren und aufzuwerten. Das Integrierte Handlungskonzept (IHK) wurde am 11.12.2014 durch den Rat der Stadt Dortmund beschlossen (siehe DS Nr.: 14251-14). Die auf dieser Grundlage erfolgte Akquisition von Städtebauförderungsmitteln war erfolgreich, mittlerweile liegen vier Zuwendungsbescheide vor, so dass die städtebaulichen, freiraumbezogenen und sozialen Defizite nach und nach beseitigt werden.

Sachstand 07/2019: Der bisherige Sachstand gilt unverändert weiter.

Sachstand 02/2020: Der aktuelle Stand kann dem neuen Projektsteckbrief entnommen werden.

Sachstand 04/2025: Mit Unterstützung durch ein Quartiersmanagement setzt die Stadterneuerung seit 2016 städtebauliche, soziale und imagefördernde Projekte um, um den Stadtteil zu stabilisieren und aufzuwerten. Baulich sind vor allem Spiel- und Sportplätze erweitert worden. Kurz- bis mittelfristig werden zudem der Marktplatz, die Seniorenbegegnungsstätte und das Gelände der Grundschule umgebaut. Zudem werden mehrere öffentliche Wegeverbindungen ertüchtigt. Zahlreiche Stadtteilfeste, eine Quartierswebsite und NebenAn als neues Nachbarschaftszentrum sollen den Stadtteil stabilisieren und das Wir-Gefühl stärken. Die Entwicklung des Stadtteils zum Klimaquartier rückt zusätzlich in den Fokus der Quartierserneuerung Westerfilde & Bodelschwingh.";Westerfilder Straße;1;960;Westerfilde;960;Westerfilde;9;Mengede;121;Bodelschwingh/Westerfilde;121;Bodelschwingh/Westerfilde;386971.2299999999;571165.87;51.5442169922, 7.37001497507;Dortmund
Interkulturelles Stadtteilzentrum Nord;Eving;Soziales;Infrastrukturen\Soziales;41;B;;in Vorbereitung/Prüfung von Rahmenbedingungen/Projektskizze erstellt;"In direkter Nachbarschaft zur Zeche Minister Stein an der Ecke Deutsche Straße/Grubenwehrweg soll ein bürgerschaftliches Kulturzentrum für soziale und kulturelle Angebote entstehen.

Sachstand 06/2018: Das Vorhaben wird wegen der Erweiterung der Polizeiwache an einem neuen Standort - Straße Am Katzenbuckel - durchgeführt. Baubeginn frühestens 2020.

Sachstand 09/2020: Das Projekt befindet sich im Abstimmungsprozess zwischen dem Projektträger Alevitische Gemeinde Dortmund e.V. und der Stadt Dortmund. Aktuelle Planungen gehen von einem weiteren Zeitraum von bis zu 5 Jahren bis Baufertigstellung aus.

Sachstand 06/2022: Das Projekt befindet sich im Abstimmungsprozess zwischen dem Projektträger Alevitische Gemeinde Dortmund e.V. und der Stadt Dortmund. Aktuelle Planungen gehen von einem Zeitraum bis 2025 bis zur Baufertigstellung aus.

Sachstand 06/2023: Das Projekt befindet sich im Abstimmungsprozess zwischen dem Projektträger Alevitische Gemeinde Dortmund e.V. und der Stadt Dortmund. Aktuelle Planungen gehen von einem Zeitraum bis 2025 bis zur Baufertigstellung aus.";Grubenwehrweg;1;122;Eving;120;Eving;1;Eving;043;Eving I/Kemminghausen;043;Eving I/Kemminghausen;393635.64;5711888.4399999995;51.5480523353, 7.46599861144;Dortmund
Kielstraße 26;IN-NORD;Soziales;Wohnen;440;A;;umgesetzt/abgeschlossen;"Ankauf und Abriss der ""Schrottimmoblie"" mit dem Ziel einer öffentlichen Folgenutzung auf dem Grundstück.

Sachstand 01/2018: Verkaufsverhandlungen sollen voraussichtlich Mitte 2018 abgeschlossen werden.

Sachstand 07/2019: Der bisherige Sachstand gilt unverändert weiter.

Sachstand 02/2020: Der aktuelle Stand kann dem neuen Projektsteckbrief entnommen werden.

Sachstand 06/2021: Mit dem Abbruch des Gebäudes wurde begonnen.

Sachstand 04/2025: Die Abrissarbeiten konnten im Dezember 2021 abgeschlossen werden. Es ist vorgesehen, die Fläche in den kommenden Jahren einer öffentlichen Nutzung zuzuführen.";Kielstraße;26;051;Nordmarkt-Süd;050;Nordmarkt;20;Innenstadt-Nord;022;Nordmarkt;022;Nordmarkt;393715.9249999997;578935.7299999995;51.5215271623, 7.4680474289;Dortmund
Klimainseln;Stadtbezirksübergreifend/gesamte Gebietskulisse;Ökologie;Infrastrukturen\Umwelt/Grün;895;B (2);;umgesetzt/abgeschlossen;"Umgestaltung geeigneter städtischer Brachflächen zu Retentionsflächen für Niederschlagswasser, um durch Ausschöpfung von Synergien multifunktionalen Nutzen zu entwickeln.

Sachstand 05/2018: Dortmunder Stadtentwässerung erhält vom Land NRW Förderzusage über 1,1 Mio €

Sachstand 07/2019: Für die 5 als für die Anlage von Klimainseln geeignet identifizierten Flächen wurden Bodenuntersuchungen veranlasst. Darauf fußend wurde die Genehmigungsplanung für die erforderlichen wasserrechtlichen Erlaubnisse erstellt. Die zugehörigen Antragsunterlagen werden zeitnah bei der Unteren Wasserbehörde zur Genehmigung vorgelegt. Im Anschluss erfolgt die konkrete Planung für die bauliche Umsetzung.

Sachstand 02/2020: Objektplanung in Bearbeitung.

Sachstand 12/2020: Von den 5 geprüften Flächen können 2 Flächen als Klimainseln weiterverfolgt und umgesetzt werden. Aufgrund der geänderten Situation des Projektantrags, hat der Förderbescheid vom Land keinen aktuellen Bestand mehr. Die beiden potenziellen Klimainsel-Flächen werden durch die Stadtentwässerung Dortmund selbst umgesetzt.

Sachstand 06/2021: Für die beiden Klimainseln werden Randbedingungen geklärt, um daran die Objektplanung anzupassen bzw. aufzubauen. Darüber hinaus wurde in einem anderen Pilotbereich eine Konzeptstudie durchgeführt zur Entwicklung von weiteren Klimainseln. 

Sachstand 07/2022: Die v.g. Randbedingungen wurden geklärt, so dass im April 2022 die Ausführungsplanung für die Klimainsel Lechlohweg abgeschlossen werden konnte. Aktuell wird vom beauftragten Planungsbüro die Leistungsphase 6 (Vorbereitung der Vergabe) bearbeitet. Die Klimainsel „Potthöferei“ wurde bisher nur bis zur Entwurfsplanung bearbeitet und wird im Anschluss an die Klimainsel Lechlohweg weiter verfolgt.

Sachstand 08/2023: Klimainsel Lechlohweg ausgeschrieben und submittiert, Auftragserteilung in Bearbeitung; Maßnahmenbeginn für 3. Quartal 2023 vorgesehen. Maßnahme Potthöferei muss noch durch beauftragtes Planungsbüro weiter entwickelt werden. 

Sachstand 03/2025: Die Klimainsel Potthöferei wird nicht weiterverfolgt. Die Klimainsel Lechlohweg ist im Jahr 2024 fertiggestellt worden.";;;;;;;;;;;;;;;;Dortmund
Kultur- und Bildungspark Nette e.V.;Mengede;Soziales;Infrastrukturen\Kultur;250;A;;umgesetzt/abgeschlossen;"Entwicklung des Schulzentrums in Nette zu einem (weiteren) Schwerpunkt der Kultur- und Bildungsarbeit im Stadtbezirk.

Sachstand 06/2018: Ein Beachvolleyballfeld wird 2018 durch ""nordwärts"" finanziert. 

Sachstand 2019: ""nordwärts""-Engagement bei der Neugestaltung der ehemaligen Tartanbahn (""Gummiplatz"").

Sachstand 02/2020: Der Verein wurde gegründet und setzt seine Arbeit fort. Das Beachvolleyballfeld am Heinrich-Heine-Gymnasium wurde -finanziert durch ""nordwärts""- umgesetzt und im November 2019 fertiggestellt.";Dörwerstraße;42;930;Nette;930;Nette;9;Mengede;123;Nette;123;Nette;388541.4999999976;5713219.379999999;51.5590316236, 7.3921323471;Dortmund
Ladenlokal in Marten als Basis stadtteilorientierter Aktivitäten;Lütgendortmund;Ökonomie;Stadtentwicklung;929;B (3);;umgesetzt/abgeschlossen;"Im Zentrum von Marten wird ein Ladenlokal angemietet, das mehreren Projekten und Organisationen eine Heimat bieten und gleichzeitig mehrere Funktionen erfüllen soll.

Sachstand 03/2018: Das Ladenlokal wurde am 22.11.2017 eröffnet, Nutzung erfolgt derzeit durch verschiedene Akteure und wird nach und nach weiterentwickelt. Drittmittelprojekt ZUKUR als Mitfinanzier und Nutzer des Objekts, Projekt KuDeQua als Nutzer des Objekts";In Der Meile;2;742;Marten;740;Marten;7;Lütgendortmund;102;Marten;102;Marten;387757.66999999987;577727.9799999995;51.5095191052, 7.38258705573;Dortmund
Lehrpfad der Zuwanderung;Stadtbezirksübergreifend/gesamte Gebietskulisse;Zivilgesellschaft;Integration und Teilhabe;900;B (2);;umgesetzt/abgeschlossen;"Die Zuwanderung in unsere Stadt hat eine rund 150-jährige Geschichte. Vielen Dortmundern ist das zwar bekannt, aber wie genau es sich damit verhält ist für viele Bürger nur nebulös greifbar. Eine sichtbare Geschichte der Zuwanderung soll dabei Licht ins Dunkle bringen und deutlich machen, dass in Dortmund Vielfalt eine lebendige Tatsache ist. 

Sachstand 04/2018: Ein Projektkonzept liegt vor. Ein Antrag auf Förderung durch das Projekt ""nordwärts"" wurde gestellt.

Sachstand 03/2020: Im Jahr 2019 hat die AG Lehrpfad der Zuwanderung folgende Bereiche bearbeitet: Projektplanung/-management, Technische Konzeption Webseite/Web-App, Gestaltungskonzeption Webseite/Web-App, Laufende Kosten Domain/Provider, Gestaltung Infotafeln, Briefing mit Kooperationspartner Geschichtsmanufaktur, Klärung der zu bearbeitenden Migrantengruppen um einen Querschnitt, bezüglich der Zuwanderung nach Dortmund darzustellen, Recherche/Besichtigung weiterer Standorte im Nordwärtsgebiet, inkl. Fotodokumentation, Festlegen der Orte, Kontaktaufnahme/Kommunikation mit den Institutionen/Hausbesitzern der festgelegten Standorte (z.Zt. 10 feste Standorte), Anschreiben Dienstleister für die Tafelerstelltung/-aufstellung, Gespräche mit einzelnen Dienstleistern, Verfassen der ersten Texte zu den Migrantengruppen durch Kooperationspartner Geschichtsmanufaktur, Fotorecherche, Regelmäßige Arbeitstreffen mit AG und Kooperationspartner 1x/Monat

Sachstand 06/2021: Es wurden vier Informationstafeln errichtet und eine projektbegleitende Website erstellt. 

Sachstand 06/2023: Das Projekt wurde Ende 2021 abgeschlossen";;;;;;;;;;;;;;;;Dortmund
MENTOR - Die Leselernhelfer Dortmund e.V.;Stadtbezirksübergreifend/gesamte Gebietskulisse;Soziales;Bildung;962;B (4);;gestartet/läuft;"MENTOR – Die Leselernhelfer Dortmund e.V., unterstützt die Grundschulen mit einer zusätzlichen individuellen Förderung nach dem 1:1-Prinzip. Damit will MENTOR einen Beitrag leisten, die Bildungs- und Lebenschancen vor allem von kulturell und sozial benachteiligten Schülerinnen und Schülern in Dortmund zu verbessern. Unser Ziel ist es, den Kindern und Jugendlichen Freude am Lesen zu vermitteln und ihnen so ganz neue kulturelle und geistige Welten zu erschließen.

Sachstand 06/2021:Das Projekt konnte coronabedingt noch nicht gestartet werden.

Sachstand 07/2022: Durch die Corona-Pandemie sowie Umstrukturierungen im Vorstand möchten wir unseren Status noch auf „noch nicht begonnen“ belassen. Wir melden uns rechtzeitig bei Ihnen, wenn wir starten. 

Sachstand 06/2023: Es haben Informationsveranstaltungen statt gefunden. Durch diese wurden neue Kontakte geknüpft und neue Interessenten und Interessentinnen gewonnen.

Sachstand 03/2025: Aktuell wird am 24.02.2025 eine Veranstaltung in Derne stattfinden, um neue Ehrenamtliche für unser Projekt zu gewinnen.";Lindenhorster Straße;11;140;Lindenhorst;140;Lindenhorst;1;Eving;042;Lindenhorst/Eving II;042;Lindenhorst/Eving II;392966.6799999992;571816.4;51.5382866808, 7.45668071569;Dortmund
Missundehof;Stadtbezirksübergreifend/gesamte Gebietskulisse;Soziales;Wohnen;804;C;;gestartet/läuft;"Sachstand 03/2020: Diese Vision wird voraussichtlich ab dem Jahr 2021 beteiligungsbasiert weiterentwickelt.

Sachstand 04/2021: Der ""nordwärts""-Kuratoriumsvorstand und das ""nordwärts""-Kuratorium haben die nicht begonnenen ""nordwärts""-Teilprojekte priorisiert. Diese Vision wird als zentrales Thema gesehen und sollte nicht als einzelnes ""nordwärts""-Teilprojekt betrachtet werden, sondern als Gesamtstrategie für Dortmund. Nachbarschaftszentren sind nicht immer mit einer Immobilie verbunden. Synergien mit bestehenden Institutionen sollen berücksichtigt werden. Die Erfahrungen von ""nordwärts"" zu dieser Thematik sollen auf die Gesamtstadt übertragen werden. Es bestehen inhaltliche Bezüge zum Projekt Nr. 851 ""Vision: Häuser und Orte der Begegnung und Unterstützung.""

Sachstand 11/2022: Das Thema Hinterhöfe ist Bestandteil der Dortmunder Stadtstrategie. Das Projekt ""Missundehof"" ist nun offiziel ein ""nordwärts"" Projekt. Ein Austausch mit städtischen Fachämtern findet kontinuierlich statt. Der Verein Schleswiger Viertel e.V. ist gegründet worden.

Sachstand 08/2023: Der Verein Schleswiger Viertel e.V. hat eine Vernetzerin eingestellt. Es finden regelmäßige Veranstaltungen statt. Im Rahmen einer Architekturwerkstatt wurden Interessierten erste Entwürfe für die Umgestaltung der Hoffläche vorgestellt.  

Sachstand 03/2025: Wir starten das Jahr 2025 mit zahlreichen Formate, die bereits im Vorjahr initiiert wurden und einen deutlichen Beitrag zur Partizipation und zum Wohlfühlen im Schleswiger Viertel leisten. Dazu gehören regelmäßige Angebote wie Gitarrenunterricht für Kinder, ein Hofcafé für Frauen, Gemeinschaftsprojekte im Garten und die Planung von Festen im Sommer und Winter. Der Missundehof ist zum Treffpunkt für die Nachbarschaft und zum Quell von Ideen für die Steigerung der Lebensqualität der Anwohner:innen geworden. Und für 2025 haben wir wieder ein Leuchtturmprojekt geplant: ""FremdeFreunde vom Missundehof"" als interaktive Kunstaktion unter Anleitung des bekannten Paderborner Künstlers und Bildhauers Manfred Webel, https://manfred-webel.de/.";MISSUNDESTRASSE;2;051;Nordmarkt-Süd;050;Nordmarkt;20;Innenstadt-Nord;022;Nordmarkt;022;Nordmarkt;39365.3999999998;579218.399999999;51.5240471227, 7.46636959861;Dortmund
Modellprojekt „Qualitätsentwicklung Jugendhilfedienst“;Eving;Soziales;Infrastrukturen\Soziales;329;A;;umgesetzt/abgeschlossen;"Mit besserer Personalausstattung intensivere und passgenaue Beratung in den Familien garantieren.

Sachstand 06/2018: Im Mittelpunkt der Projektaktivitäten des Jahres 2017 stand die fachliche Umsetzung der Standards in den Handlungsalltag der drei Jugendhilfedienste. Dazu wurden gezielt Fortbildungen und Schulungen angeboten, eine praktische Hilfestellung in der Fallanalyse und Fallarbeit der Fachkräfte gewährleistet sowie die Jugendhilfedienstleitungen bei ihrer fachlichen Steuerung unterstützt.
Gleichzeitig führten die Erfahrungen aus dem ersten Jahr des Modellprojektes dazu, dass das Qualitätshandbuch konkretisiert und angepasst werden konnte. An dieser Anpassung wurden auch Fachkräfte aus den anderen Jugendhilfediensten beteiligt.
Eine Bewertung der bisher erreichten Ziele erfolgte durch die Projektlenkungsgruppe, der Vertreter aus den Dezernaten 2, 4 und 8 angehören, die Projektleitung, die Fachkräfte in den drei Jugendhilfediensten sowie im Rahmen des Controlling. Auf allen drei Ebenen wurde ein positives Fazit aus den bisherigen Erfahrungen mit dem Modellprojekt „Fachstandard plus“ gezogen und eine Fortführung des Modellprojektes befürwortet.
Das dritte Modelljahr (2018) „Fachstandard plus“ soll dazu genutzt werden, in den drei bisherigen Fachdiensten die gewonnenen Erfahrungen aus der Fallsteuerung und der Netzwerkarbeit zu vertiefen, zu verstetigen und daraus vor allem Schlussfolgerungen für eine Übertragung der Erfahrungen für die anderen Jugendhilfedienste zu ziehen.

Sachstand 08/2022: Zeitgleich zum Projekt ""nordwärts"" gab es die Entscheidung in den Jugendhilfediensten Eving, Scharnhorst und Brackel die vorgesehene Qualitätsentwicklung im Rahmen des Modellprojektes Fachstandard + ab dem 01.04.2016 durchzuführen. Der Projektauftrag beinhaltete die Stärkung der Falleingangsphase durch erhöhte eigene intensivere Beratungsleistung und die Stärkung der sozialräumlichen Arbeit. Das Projekt ""nordwärts"" hat den JHD Scharnhorst und Eving, da sie zum Einzugsgebiet ""nordwärts"" gehören, dafür ausgezeichnet. Nach erfolgreicher Beendigung des Modellprojektes Fachstandard + in den 3 Diensten erfolgte die Übertragung auf alle 14 Jugendhilfedienste.";August-Wagner-Platz;3;122;Eving;120;Eving;1;Eving;043;Eving I/Kemminghausen;043;Eving I/Kemminghausen;39348.7999999996;571212.869999999;51.5491278214, 7.46268027739;Dortmund
Namenswettbewerb Hochwasserrückhaltebecken Mengede/Ickern;Mengede;Ökologie;Infrastrukturen\Sport+Freizeit;838;C;;umgesetzt/abgeschlossen;"Namenswettbewerb Hochwasserrückhaltebecken Mengede/Ickern

Sachstand 04/2018: Das Projekt steht in engem Zusammenhang mit dem Projekt Hof Emschertal (809). Für das Hochwasserrückhaltebecken soll ein Namensfindungswettbewerb mit den Bürgerinnen und Bürgern stattfinden, um einen gemeinsamen Namen zu finden, der die Belange von Dortmund-Mengede und Castrop-Rauxel Ickern berücksichtigt. Erste Gespräche dazu laufen.

Sachstand 09/2018: In der Sitzung der BV-Sitzung am 12.09.2018 hat die BV Mengede einen gemeinsamen Antrag der BV-Fraktionen (SPD, Bündnis 90/Die Grünen, Die Linke/Piraten, CDU) zur starken Beteiligung der Politik bei der Namensgebung für das HRB beschlossen (Drucksache Nr.: 11924-18).

Sachstand 02/2020: Das Projekt ist gestartet und der Namenswettbewerb wird vorbereitet.

Sachstand 08/2020: Der neue Name für das Hochwasserrückhaltebecken Ickern-Mengede wurde im Rahmen eines Namenswettbewerbs ermittelt. Er lautet ""Emscher-Auen"".
In der Jury saßen Vertreter*innen aus Dortmund und Castrop-Rauxel, von der Emschergenossenschaft sowie von Vereinen und Projekten aus beiden Städten, darunter „Mein Ickern e.V.“ und Projekt „nordwärts“. 
Die Emscher-Auen in Dortmund-Mengede und Castrop-Rauxel-Ickern sind 33 Hektar groß, das entspricht in etwa der Größe von 46 Fußballfeldern. Im Hochwasserfall kann die durch die Auen fließende Emscher über ein Drosselbauwerk zurückgestaut und damit gedrosselt werden, um die unterhalb des Beckens liegenden Städte (Castrop-Rauxel bis Dinslaken) vor den Hochwassermassen zu schützen. Insgesamt 1,1 Millionen Kubikmeter fasst das Hochwasserrückhaltebecken. Das entspricht dem Inhalt von sieben Millionen Badewannen. Als Auen bezeichnet man die von wechselnden Hoch- und Niedrigwasser geprägten Niederungen entlang eines Baches oder Flusses – folglich also ein idealer Begriff für ein Hochwasserrückhaltebecken.";RITTERSHOFER STRASSE;125;;;;;;;;;;;;;;Dortmund
