;;;;;;;;;;
Haftungsausschluss und Copyright;;;;;;;;;;
"Aufgrund der technischen Merkmale des Internet kann die Zertifizierungsstelle keine Gewähr für die Vollständigkeit und Richtigkeit der hier eingestellten Informationen übernehmen. Sie sollten deshalb die Richtigkeit der hier präsentierten Informationen überprüfen, insbesondere wenn sie als Grundlage für Vertragsabschlüsse dienen. 
Diese Informationen dürfen gespeichert, weitergeben und vervielfältigt, jedoch nicht verändert werden. Bei Weitergabe und Vervielfältigung wird um Quellenangabe gebeten.
Raiffeisen-Volksbank Rhön-Grabfeld eG;"Raiffeisenplatz 1-3
97616 Bad Neustadt";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);VR-Bank Rhön-Grabfeld eG;A;001087;01.01.2002;01.10.2016;;;
Raiffeisen-Volksbank Rhön-Grabfeld eG;"Raiffeisenplatz 1-3
97616 Bad Neustadt";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);VR-Bank Rhön-Grabfeld eG;A;002569;01.01.2002;01.10.2016;;;
Raiffeisen-Volksbank Rhön-Grabfeld eG;"Raiffeisenplatz 1-3
97616 Bad Neustadt";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);VR-Bank Rhön-Grabfeld eG;A;001796;01.01.2002;01.10.2016;;;
Raiffeisen-Volksbank Ries eG;"Bei den Kornschrannen 4-5
86720 Nördlingen";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Raiffeisen-Volksbank Ries eG;A;001139;01.01.2002;;;;
Raiffeisen-Volksbank Ruhpolding-Inzell eG;"Hauptstr. 58
83324 Ruhpolding";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Volksbank-Raiffeisenbank Chiemsee eG;A;001787;01.01.2002;01.09.2022;;;
Raiffeisen-Volksbank Saale-Orla eG;"Straubelstr. 3
07381 Pößneck";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Volksbank Vogtland Saale-Orla eG;A;001527;01.01.2002;;;;
Raiffeisen-Volksbank Saale-Orla eG;"Straubelstr. 3
07381 Pößneck";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Volksbank Vogtland Saale-Orla eG;A;002425;01.01.2002;;;;
Raiffeisen-Volksbank Saale-Orla eG;"Straubelstr. 3
07381 Pößneck";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Volksbank Vogtland Saale-Orla eG;A;000958;01.01.2002;;;;
Raiffeisen-Volksbank Staffelstein-Ebensfeld eG;"Bahnhofstr. 23
96231 Staffelstein";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Raiffeisen-Volksbank Bad Staffelstein eG;A;001115;01.01.2002;;;;
Raiffeisen-Volksbank Staffelstein-Ebensfeld eG;"Bahnhofstr. 23
96231 Staffelstein";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Raiffeisen-Volksbank Bad Staffelstein eG;A;001913;01.01.2002;;;;
Raiffeisen-Volksbank Taufkirchen/Vils eG;"Landshuter Str. 4
84416 Taufkirchen (Vils)";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);VR-Bank Taufkirchen-Dorfen eG;A;002557;01.01.2002;;;;
Raiffeisen-Volksbank Tüßling-Unterneukirchen eG;"Marktplatz 23-24
84577 Tüßling";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Raiffeisen-Volksbank Tüßling-Unterneukirchen eG;A;002560;01.01.2002;;;;
Raiffeisen-Volksbank Varel-Nordenham eG;"Bürgermeister-Heidenreich-Str. 5
26316 Varel";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Raiffeisen-Volksbank Varel-Nordenham eG;A;002828;01.01.2002;;;;
Raiffeisen-Volksbank Varel-Nordenham eG;"Bürgermeister-Heidenreich-Str. 5
26316 Varel";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Raiffeisen-Volksbank Varel-Nordenham eG;A;002175;01.01.2002;;;;
Raiffeisen-Volksbank Varel-Nordenham eG;"Bürgermeister-Heidenreich-Str. 5
26316 Varel";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Raiffeisen-Volksbank Varel-Nordenham eG;A;001311;01.01.2002;;;;
Raiffeisen-Volksbank Wemding eG;"Wallfahrtstr. 8
86650 Wemding";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Raiffeisen-Volksbank Wemding eG;A;001091;01.01.2002;;;;
Raiffeisen-Volksbank Wemding eG;"Wallfahrtstr. 8
86650 Wemding";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Raiffeisen-Volksbank Wemding eG;A;001800;01.01.2002;;;;
Raiffeisen-Volksbank Wemding eG;"Wallfahrtstr. 8
86650 Wemding";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Raiffeisen-Volksbank Wemding eG;A;002571;01.01.2002;;;;
RBank Raiffeisenbank Groß-Rohrheim eG;"Rheinstr. 24-26
68649 Groß-Rohrheim";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Raiffeisenbank Ried eG;A;003420;01.01.2002;01.06.2021;;;
RBank Raiffeisenbank Groß-Rohrheim eG;"Rheinstr. 24-26
68649 Groß-Rohrheim";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Raiffeisenbank Ried eG;A;003114;01.01.2002;01.06.2021;;;
RBank Raiffeisenbank Groß-Rohrheim eG;"Rheinstr. 24-26
68649 Groß-Rohrheim";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Raiffeisenbank Ried eG;A;002020;01.01.2002;01.06.2021;;;
Rheingauer Volksbank eG;"Winkeler Str. 64a
65366 Geisenheim ";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Rheingauer Volksbank eingetragene Genossenschaft;A;001467;01.01.2002;;;;
RheinLand Lebensversicherung AG;"RheinLandplatz
41460 Neuss";RheinLand Prämien-Rente;Credit Life AG;A;003817;01.06.2006;01.01.2012;;;
RheinLand Lebensversicherung AG;"Rheinlandplatz
41460 Neuss";RheinLand FörderRente ;Credit Life AG;A;000150;01.01.2002;01.01.2012;;;
RheinLand Lebensversicherung AG;"RheinLandplatz
41460 Neuss";RheinLand Basis-Rente;Credit Life AG;B;004532;22.01.2010;01.01.2017;;;
RheinLand Lebensversicherung Aktiengesellschaft;"RheinLandplatz
41460 Neuss";RheinLand Basis-Rente;Credit Life AG;B;005194;05.11.2010;01.01.2017;;;
RheinLand Lebensversicherung Aktiengesellschaft;"RheinLandplatz
41460 Neuss";"""Förder-Rente"" (im Bankenvertrieb: ""Prämien-Rente"")";Credit Life AG;A;005099;27.09.2010;;;;
RheinLand Lebensversicherung Aktiengesellschaft;"RheinLandplatz 1
41460 Neuss";RheinLand Basis-Rente;Credit Life AG;B;005920;24.11.2014;;;;
Riesenbecker Volksbank eG;"Heinrich-Niemeyer-Str. 27
48477 Hörstel";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Riesenbecker Volksbank eG;A;001702;01.01.2002;;;;
Riesenbecker Volksbank eG;"Heinrich-Niemeyer-Str. 27
48477 Hörstel";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Riesenbecker Volksbank eG;A;002345;01.01.2002;;;;
Riesenbecker Volksbank eG;"Heinrich-Niemeyer-Str. 27
48477 Hörstel";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Riesenbecker Volksbank eG;A;003232;01.01.2002;;;;
Rosbacher Raiffeisenbank eG;"Berliner Platz 1
51570 Windeck";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Rosbacher Raiffeisenbank eingetragene Genossenschaft;A;003455;01.01.2002;;;;
Rosbacher Raiffeisenbank eG;"Berliner Platz 1
51570 Windeck";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Rosbacher Raiffeisenbank eingetragene Genossenschaft;A;003148;01.01.2002;;;;
Rosbacher Raiffeisenbank eG;"Berliner Platz 1
51570 Windeck";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Rosbacher Raiffeisenbank eingetragene Genossenschaft;A;002056;01.01.2002;;;;
Rostocker Volks- und Raiffeisenbank eG;"Buchbinderstr. 18/19
18055 Rostock";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);VR Bank Mecklenburg eG;A;000947;01.01.2002;01.06.2023;;;
Rostocker Volks- und Raiffeisenbank eG;"Buchbinderstr. 18/19
18055 Rostock";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);VR Bank Mecklenburg eG;A;001515;01.01.2002;;;;
Rostocker Volks- und Raiffeisenbank eG;"Buchbinderstr. 18/19
18055 Rostock";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);VR Bank Mecklenburg eG;A;002412;01.01.2002;01.06.2023;;;
Rottaler Raiffeisenbank eG;"Indlinger Str. 4
94060 Pocking";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Rottaler Raiffeisenbank eG;A;001069;01.01.2002;;;;
Rottaler Volksbank - Raiffeisenbank eG;"Carcassonner Platz 1
84307 Eggenfelden";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Rottaler Volksbank - Raiffeisenbank eG;A;001385;01.01.2002;;;;
Rottaler Volksbank - Raiffeisenbank eG;"Carcassonner Platz 1
84307 Eggenfelden";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Rottaler Volksbank - Raiffeisenbank eG;A;000901;01.01.2002;;;;
Rottaler Volksbank - Raiffeisenbank eG;"Carcassonner Platz 1
84307 Eggenfelden";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Rottaler Volksbank - Raiffeisenbank eG;A;000758;01.01.2002;;;;
Rüsselsheimer Volksbank eG;"Bahnhofstr. 15-17
65428 Rüsselsheim";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Frankfurter Volksbank Rhein/Main EG;A;001190;01.01.2002;;;;
Rüsselsheimer Volksbank eG;"Bahnhofstr. 15-17
65428 Rüsselsheim";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Frankfurter Volksbank Rhein/Main EG;A;001476;01.01.2002;;;;
Rüsselsheimer Volksbank eG;"Bahnhofstr. 15-17
65428 Rüsselsheim";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Frankfurter Volksbank Rhein/Main EG;A;000805;01.01.2002;;;;
RV Bank Frankenthal eG;"Hauptstr. 24
67245 Lambsheim";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);RV Bank Rhein-Haardt eG;A;001808;01.01.2002;;;;
RV Bank Frankenthal eG;"Hauptstr. 24
67245 Lambsheim";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);RV Bank Rhein-Haardt eG;A;003288;01.01.2002;;;;
RV Bank Frankenthal eG;"Hauptstr. 24
67245 Lambsheim";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);RV Bank Rhein-Haardt eG;A;002599;01.01.2002;;;;
RV-Bank eG;"Hanauer Str. 13
63755 Alzenau";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);VR-Bank eG;A;002540;01.01.2002;;;;
Saalesparkasse;"Rathausstr. 5
06108 Halle (Saale)";Sparkassen-Riesterdarlehen;Saalesparkasse;A;004101;01.11.2008;01.01.2017;;;
Saalesparkasse;"Rathausstr. 5
06108 Halle (Saale)";SVorsorgePlus 157.850.000;Saalesparkasse;A;004724;12.02.2010;;;;
SAARLAND Lebensversicherung AG;"Mainzer Str. 32-34
66111 Saarbrücken";SAARLAND S-PrämienRente;Bayern-Versicherung Lebensversicherung Aktiengesellschaft;A;003838;01.12.2006;01.03.2013;;;
SAARLAND Lebensversicherung AG;"Postfach 10 26 62
66026 Saarbrücken";SAARLAND S-PrämienRente;Bayern-Versicherung Lebensversicherung Aktiengesellschaft;A;000060;01.01.2002;01.01.2012;;;
SAARLAND Lebensversicherung Aktiengesellschaft;"Mainzer Straße 32-34
66111 Saarbrücken";Staatlich förderfähige Rentenversicherung mit aufgeschobener Rentenzahlung;Bayern-Versicherung Lebensversicherung Aktiengesellschaft;B;004517;29.12.2009;20.02.2013;;;
SAARLAND Lebensversicherung Aktiengesellschaft;"Mainzer Straße 32-34
66111 Saarbrücken";Staatlich förderfähige fondsgebundene Rentenversicherung mit aufgeschobener Rentenzahlung;Bayern-Versicherung Lebensversicherung Aktiengesellschaft;B;004530;19.01.2010;20.02.2013;;;
SAARLAND Lebensversicherung Aktiengesellschaft;"Mainzer Straße 32-34
66111 Saarbrücken";Staatlich förderfähige Rentenversicherung mit sofort beginnender Rentenzahlung;Bayern-Versicherung Lebensversicherung Aktiengesellschaft;B;004506;22.12.2009;20.08.2012;;;
SAARLAND Lebensversicherung Aktiengesellschaft;"Mainzer Straße 32-34
66111 Saarbrücken";Staatlich förderfähige Rentenversicherung mit sofort beginnender Rentenzahlung;Bayern-Versicherung Lebensversicherung Aktiengesellschaft;B;005707;01.12.2011;20.02.2013;;;
SAARLAND Lebensversicherung Aktiengesellschaft;"Mainzer Straße 32-34
66111 Saarbrücken";Rentenversicherung als Altersvorsorgevertrag;Bayern-Versicherung Lebensversicherung Aktiengesellschaft;A;005805;11.12.2012;01.01.2017;;;
SAARLAND Lebensversicherung Aktiengesellschaft;"Mainzer Straße 32-34
66111 Saarbrücken";Staatlich förderfähige Rentenversicherung mit sofort beginnender Rentenzahlung;Bayern-Versicherung Lebensversicherung Aktiengesellschaft;B;005819;14.12.2012;01.01.2017;;;
SAARLAND Lebensversicherung Aktiengesellschaft;"Mainzer Straße 32-34
66111 Saarbrücken";Staatlich förderfähige Rentenversicherung mit aufgeschobener Rentenzahlung;Bayern-Versicherung Lebensversicherung Aktiengesellschaft;B;005818;14.12.2012;08.01.2018;;;
SAARLAND Lebensversicherung Aktiengesellschaft;"Mainzer Straße 32-34
66111 Saarbrücken";Staatlich förderfähige fondsgebundene Rentenversicherung mit aufgeschobener Rentenzahlung (BasisRente Invest);Bayern-Versicherung Lebensversicherung Aktiengesellschaft;B;005820;14.12.2012;01.01.2017;;;
SAARLAND Lebensversicherung Aktiengesellschaft;"Mainzer Straße 32-34
66111 Saarbrücken";Staatlich förderfähige Rentenversicherung mit aufgeschobener Rentenzahlung TW 2007;Bayern-Versicherung Lebensversicherung Aktiengesellschaft;B;005117;23.09.2010;20.08.2012;;;
SAARLAND Lebensversicherung Aktiengesellschaft;"Mainzer Straße 32-34
66111 Saarbrücken";Staatlich förderfähige Rentenversicherung mit aufgeschobener Rentenzahlung TW 2005;Bayern-Versicherung Lebensversicherung Aktiengesellschaft;B;005116;23.09.2010;20.08.2012;;;
Salzlandsparkasse;"Lehrter Str. 15
39418 Staßfurt";SVorsorgePlus 157.850.000;Salzlandsparkasse;A;004722;12.02.2010;;;;
Scharnhauser Bank eG;"Raiffeisenstr. 2-4
73760 Ostfildern";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Scharnhauser Bank eG;A;001022;01.01.2002;;;;
Scharnhauser Bank eG;"Raiffeisenstr. 2-4
73760 Ostfildern";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Scharnhauser Bank eG;A;002509;01.01.2002;;;;
Scharnhauser Bank eG;"Raiffeisenstr. 2-4
73760 Ostfildern";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Scharnhauser Bank eG;A;001585;01.01.2002;;;;
"Schweizerische Lebensversicherungs- und Rentenanstalt,  Zürich
Niederlassung für Deutschland";"Berliner Str. 85
80805 München";Swiss Life Basis-Rente-Firma;Swiss Life Lebensversicherung SE;A;000139;01.01.2002;06.09.2012;;;
"Schweizerische Lebensversicherungs- und Rentenanstalt,  Zürich
Niederlassung für Deutschland";"Berliner Str. 85
80805 München";Swiss Life BasisRente - Spezial;Swiss Life Lebensversicherung SE;A;000140;01.01.2002;06.09.2012;;;
"Schweizerische Lebensversicherungs- und Rentenanstalt,  Zürich
Niederlassung für Deutschland";"Berliner Str. 85
80805 München";BasisRente - Individuell;Swiss Life Lebensversicherung SE;A;000138;01.01.2002;23.03.2009;;;
Schweizerische Lebensversicherungs- und Rentenanstalt, Niederlassung für Deutschland;"Berliner Str. 85
80885 München";Swiss Life Riester-Rente - Individuell;Swiss Life Lebensversicherung SE;A;003968;01.09.2008;06.09.2012;;;
Schweizerische Lebensversicherungs- und Rentenanstalt, Niederlassung für Deutschland;"Berliner Straße 85
80805 München";Swiss Life Riester-Rente FRV Profi Plan;Swiss Life Lebensversicherung SE;A;003887;01.08.2007;06.09.2012;;;
Schweizerische Lebensversicherungs- und Rentenanstalt, Niederlassung für Deutschland;"Berliner Straße 85
80805 München";Swiss Life Riester-Rente FRV Standard;Swiss Life Lebensversicherung SE;A;003885;01.08.2007;06.09.2012;;;
Securitas Gilde Lebensversicherung AG;"Am Wall 121
28195 Bremen";Altersvorsorge Police;SECURITAS Gilde Lebensversicherung Aktiengesellschaft;A;000302;01.01.2002;01.12.2012;;;
Siebendächer Baugenossenschaft eG;"Lindentorstr. 7
87700 Memmingen";Altersvorsorgevertrag-Muster GdW;Siebendächer Baugenossenschaft eG;A;003544;01.01.2002;01.01.2017;;;
Skandia Lebensversicherung  AG;"Kaiserin-Augusta-Allee 108
10553 Berlin";Skandia Riester-Rente nach Tarif SRR;Skandia Lebensversicherung Aktiengesellschaft;A;003813;01.02.2006;01.01.2012;;;
Skandia Lebensversicherung AG;"Kaiserin-Augusta-Allee 108
10553 Berlin";Skandia Riester-Rente nach Tarif SRR07;Skandia Lebensversicherung Aktiengesellschaft;A;003855;02.01.2007;01.01.2012;;;
Skandia Lebensversicherung AG;"Kaiserin-Augusta-Allee 108
10553 Berlin";"Skandia Basisrente nach Tarif  FMY mit den Druckstücknummern 56 BE 01/05, 56 BE 04/05 und 58 BE 01/05;";Skandia Lebensversicherung Aktiengesellschaft;B;004988;09.06.2010;01.01.2012;;;
Skandia Lebensversicherung AG;"Kaiserin-Augusta-Allee 108
10553 Berlin";Skandia Basisrente nach Tarif SFR08-x (x = Z, H und B) mit den Druckstücknummern 104 BE 07/08, 106 BE 07/08 und 117 BE 07/08;Skandia Lebensversicherung Aktiengesellschaft;B;004977;04.06.2010;01.01.2012;;;
Skandia Lebensversicherung AG;"Kaiserin-Augusta-Allee 108
10553 Berlin";Skandia Basisrente nach Tarif FMG mit der Druckstücknummer 57 BE 01/05;Skandia Lebensversicherung Aktiengesellschaft;B;004987;09.06.2010;01.01.2012;;;
Skandia Lebensversicherung AG;"Kaiserin-Augusta-Allee 108
10553 Berlin";Skandia Vermögenspolice Basisversorgung nach Tarif SFE08-A;Skandia Lebensversicherung Aktiengesellschaft;B;004523;11.01.2010;01.01.2012;;;
Skandia Lebensversicherung AG;"Kaiserin-Augusta-Allee 108
10553 Berlin";Skandia Basisrente nach Tarif SFR08-x;Skandia Lebensversicherung Aktiengesellschaft;B;004524;11.01.2010;01.01.2017;;;
Skandia Lebensversicherung AG;"Kaiserin-Augusta-Allee 108
10553 Berlin";Skandia Basisrente nach Tarif FMN mit der Druckstücknummer 55 BE 01/05;Skandia Lebensversicherung Aktiengesellschaft;B;004986;09.06.2010;01.01.2012;;;
Skandia Lebensversicherung AG;"Postfach 21 01 50
10501 Berlin";Transparente Investment Förderrente T.I.F. nach Tarif FFR;Skandia Lebensversicherung Aktiengesellschaft;A;000101;01.01.2002;01.12.2012;;;
Skandia Lebensversicherung Aktiengesellschaft;"Kaiserin-Augusta-Allee 108
10553 Berlin";Skandia Basisrente nach Tarif SFR08-x (x = Z, H und B) mit den Druckstücknummern 104 BE 04/2009, 106 BE 04/2009 und 117 BE 04/2009;Skandia Lebensversicherung Aktiengesellschaft;B;005134;28.09.2010;01.01.2012;;;
Skandia Lebensversicherung Aktiengesellschaft;"Kaiserin-Augusta-Allee 108
10553 Berlin";Skandia Vermögenspolice Basisversorgung nach Tarif SFE08-A mit der Druckstücknummer 108 BE 09/08;Skandia Lebensversicherung Aktiengesellschaft;B;005133;27.09.2010;01.01.2012;;;
Skandia Lebensversicherung Aktiengesellschaft;"Kaiserin-Augusta-Allee 108
10553 Berlin";Skandia Vermögenspolice Basisversorgung nach Tarif SFE08-A mit der Druckstücknummer 108 BE 04/2009;Skandia Lebensversicherung Aktiengesellschaft;B;005135;28.09.2010;01.01.2012;;;
Skandia Lebensversicherung Aktiengesellschaft;"Kaiserin-Augusta-Allee 108
10553 Berlin";Skandia Basisrente nach Tarif SFR08-x (x = Z und H) mit den Druckstücknummern 104 BE 01/08, 104 BE 06/08 und 106 BE 01/08;Skandia Lebensversicherung Aktiengesellschaft;B;005266;10.12.2010;01.01.2012;;;
Skandia Lebensversicherung Aktiengesellschaft;"Kaiserin-Augusta-Allee 108
10553 Berlin";Skandia Basisrente nach Tarif SFx (x= R, H und T) mit den Druckstücknummern 71 BE 01/07, 71 BE 05/07, 74 BE 01/07 und 79 BE 01/07;Skandia Lebensversicherung Aktiengesellschaft;B;005268;10.12.2010;01.01.2012;;;
Skandia Lebensversicherung Aktiengesellschaft;"Kaiserin-Augusta-Allee 108
10553 Berlin";Skandia Basisrente nach Tarif SFx (x= R, H und T) mit den Druckstücknummern 71 BE 05/06, 71 BE 08/06, 74 BE 06/06 und 79 BE 07/06;Skandia Lebensversicherung Aktiengesellschaft;B;005269;10.12.2010;01.01.2012;;;
Skandia Lebensversicherung Aktiengesellschaft;"Kaiserin-Augusta-Allee 108
10553 Berlin";Skandia Basisrente nach Tarif AGx (x=M und E) mit den Druckstücknummern 59 BE 10/05 und 60 BE 08/05;Skandia Lebensversicherung Aktiengesellschaft;B;005290;23.12.2010;01.01.2012;;;
Skandia Lebensversicherung Aktiengesellschaft;"Kaiserin-Augusta-Allee 108
10553 Berlin";Skandia Basisrente nach Tarif AGx (x=M und E) mit den Druckstücknummern 59 BE 03/05 und 60 BE 03/05;Skandia Lebensversicherung Aktiengesellschaft;B;005291;23.12.2010;01.01.2012;;;
Skandia Lebensversicherung Aktiengesellschaft;"Kaiserin-Augusta-Allee 108
10553 Berlin";Skandia Vermögenspolice Basisversorgung nach Tarif SFE08-A mit den Druckstücknummern 108 BE 01/08 und 108 BE 06/08;Skandia Lebensversicherung Aktiengesellschaft;B;005286;23.12.2010;01.01.2012;;;
Skandia Lebensversicherung Aktiengesellschaft;"Kaiserin-Augusta-Allee 108
10553 Berlin";Skandia Vermögenspolice Basisversorgung nach Tarif SFE mit der Druckstücknummer 85 BE 01/07;Skandia Lebensversicherung Aktiengesellschaft;B;005287;23.12.2010;01.01.2012;;;
Skandia Lebensversicherung Aktiengesellschaft;"Kaiserin-Augusta-Allee 108
10553 Berlin";Skandia Basisrente nach Tarif FMY mit der Druckstücknummer 67 BE 01/06;Skandia Lebensversicherung Aktiengesellschaft;B;005288;23.12.2010;01.01.2012;;;
Skandia Lebensversicherung Aktiengesellschaft;"Kaiserin-Augusta-Allee 108
10553 Berlin";Skandia Vermögenspolice Basisversorgung nach Tarif SFE mit der Druckstücknummer 85 BE 10/06;Skandia Lebensversicherung Aktiengesellschaft;B;005289;23.12.2010;01.01.2012;;;
Skandia Lebensversicherung Aktiengesellschaft;"Kaiserin-Augusta-Allee 108
10553 Berlin";Skandia Basisrente nach Tarif SFR11-Z mit der Druckstücknummer 119 BE 01/2011;Skandia Lebensversicherung Aktiengesellschaft;B;005609;07.04.2011;01.01.2017;;;
Skandia Lebensversicherung Aktiengesellschaft;"Kaiserin-Augusta-Allee 108
10553 Berlin";Skandia Basisrente nach Tarif FMN mit der Druckstücknummer 55 BE 10/05;Skandia Lebensversicherung Aktiengesellschaft;B;005136;28.09.2010;01.01.2012;;;
Skandia Lebensversicherung Aktiengesellschaft;"Kaiserin-Augusta-Allee 108
10553 Berlin";Skandia Basisrente nach Tarif FMY mit der Druckstücknummer 56 BE 10/05;Skandia Lebensversicherung Aktiengesellschaft;B;005137;28.09.2010;01.01.2012;;;
Skandia Lebensversicherung Aktiengesellschaft;"Kaiserin-Augusta-Allee 108
10553 Berlin";Skandia Basisrente nach Tarif FMG mit der Druckstücknummer 57 BE 10/05;Skandia Lebensversicherung Aktiengesellschaft;B;005138;28.09.2010;01.01.2012;;;
Skandia Lebensversicherung Aktiengesellschaft;"Kaiserin-Augusta-Allee 108
10553 Berlin";Skandia Riester-Rente nach Tarif SRR08;Skandia Lebensversicherung Aktiengesellschaft;A;003940;02.01.2008;01.01.2012;;;
Spar- u. Kredit-Bank eG;"Steinweg 40
35285 Gemünden (Wohra)";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Spar-u.Kredit-Bank eG;A;001168;01.01.2002;;;;
Spar- u. Kredit-Bank eG;"Steinweg 40
35285 Gemünden (Wohra)";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Spar-u.Kredit-Bank eG;A;002740;01.01.2002;;;;
Spar- u. Kredit-Bank eG;"Steinweg 40
35285 Gemünden (Wohra)";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Spar-u.Kredit-Bank eG;A;001953;01.01.2002;;;;
Spar- und Bauverein eG;"Arndtstr. 5
30167 Hannover";Altersvorsorgevertrag-Muster GdW;Spar- und Bauverein eG;A;003551;01.01.2002;01.01.2017;;;
Spar- und Bauverein Konstanz eG;"Brandesstr. 2
78464 Konstanz";Altersvorsorgevertrag-Muster GdW;Spar- und Bauverein Konstanz eG;A;003542;01.01.2002;01.01.2017;;;
Spar- und Bauverein Solingen eG Gemeinnützige Wohnungsgenossenschaft;"Kölner Str. 47
42651 Solingen";Altersvorsorgevertrag-Muster GdW;Spar- und Bauverein Solingen eG Gemeinnützige Wohnungsgenossenschaft;A;003553;01.01.2002;01.01.2017;;;
