;1. Start des Fragebogens;1. Start des Fragebogens;1. Start des Fragebogens;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;4. Mobilität;4. Mobilität;4. Mobilität;4. Mobilität;4. Mobilität;4. Mobilität;4. Mobilität;4. Mobilität;4. Mobilität;5. Demographische Daten;5. Demographische Daten;6. Stromspiegel;6. Optionale Angaben;6. Optionale Angaben;6. Optionale Angaben;6. Optionale Angaben;7. Abschluss des Fragebogens
1100356;Nein;Ministerium des Innern;Nein;oft;immer;selten;immer;immer;nie;immer;k. A.;Nein;nie;immer;immer;selten;;Ja;gelegentlich;selten;immer;immer;k. A.;immer;immer;nie;immer;nie;immer;nie;immer;nie;Nein;nie;immer;immer;gelegentlich;immer;selten;nie;Ja;oft;selten;gelegentlich;k. A.;k. A.;k. A.;selten;selten;selten;immer;Nein;50-59;weiblich;Ja;Haus;Ohne Strom;2;3.000;Ja
1100357;Ja;Ministerium des Innern;Nein;oft;nie;k. A.;immer;immer;gelegentlich;immer;k. A.;Ja;nie;oft;oft;oft;oft;k. A.;nie;nie;oft;nie;k. A.;immer;;oft;immer;k. A.;k. A.;oft;oft;nie;Ja;nie;oft;immer;immer;immer;oft;nie;Ja;selten;selten;nie;nie;nie;nie;oft;nie;nie;oft;Nein;30-39;weiblich;Ja;Wohnung;Mit Strom;3;2.100;Ja
1100358;Ja;Ministerium des Innern;Nein;immer;immer;nie;immer;gelegentlich;gelegentlich;immer;nie;Nein;gelegentlich;immer;gelegentlich;oft;nie;Ja;selten;selten;immer;immer;immer;gelegentlich;gelegentlich;gelegentlich;oft;nie;immer;nie;oft;nie;Nein;gelegentlich;immer;gelegentlich;oft;immer;gelegentlich;nie;Ja;gelegentlich;gelegentlich;oft;nie;selten;nie;gelegentlich;selten;gelegentlich;oft;Nein;30-39;männlich;Nein;;;;;Ja
1100359;Ja;Ministerium des Innern;Ja;oft;nie;nie;immer;immer;k. A.;immer;k. A.;Ja;nie;immer;immer;gelegentlich;k. A.;Ja;gelegentlich;gelegentlich;selten;selten;immer;immer;immer;gelegentlich;gelegentlich;nie;oft;nie;immer;oft;Nein;nie;immer;immer;gelegentlich;immer;immer;oft;Ja;gelegentlich;oft;oft;nie;nie;nie;selten;oft;nie;immer;Nein;50-59;männlich;Ja;Wohnung;Mit Strom;3;3.800;Ja
1100360;Ja;Ministerium des Innern;Nein;selten;nie;nie;immer;oft;oft;oft;k. A.;Nein;nie;oft;gelegentlich;immer;k. A.;Ja;gelegentlich;oft;nie;nie;immer;immer;immer;selten;oft;selten;gelegentlich;oft;oft;gelegentlich;Nein;nie;immer;oft;immer;immer;gelegentlich;nie;Ja;immer;immer;nie;nie;nie;nie;selten;nie;gelegentlich;immer;;18-29;weiblich;Nein;;;;;Ja
1100361;Ja;Ministerium für Wirtschaft, Industrie, Klimaschutz und Energie;Ja;oft;selten;immer;immer;immer;oft;immer;nie;k. A.;k. A.;k. A.;k. A.;k. A.;gelegentlich;k. A.;oft;oft;oft;oft;immer;immer;immer;immer;oft;gelegentlich;oft;nie;immer;immer;;nie;oft;oft;oft;immer;gelegentlich;oft;k. A.;immer;immer;gelegentlich;nie;selten;nie;selten;selten;selten;immer;Nein;30-39;männlich;Ja;Wohnung;Ohne Strom;2;800;Ja
1100362;Ja;Ministerium des Innern;Nein;immer;nie;immer;immer;immer;oft;immer;k. A.;Ja;nie;oft;gelegentlich;selten;k. A.;Ja;nie;selten;immer;gelegentlich;immer;immer;immer;immer;immer;nie;immer;selten;oft;nie;Ja;nie;selten;oft;nie;immer;immer;nie;k. A.;nie;nie;nie;nie;k. A.;k. A.;immer;nie;nie;immer;Nein;60-69;weiblich;Nein;;;;;Ja
1100363;Ja;Ministerium des Innern;Nein;immer;immer;nie;immer;immer;nie;immer;k. A.;;gelegentlich;gelegentlich;oft;selten;nie;;selten;nie;immer;immer;immer;immer;immer;gelegentlich;nie;selten;nie;nie;gelegentlich;nie;Ja;oft;immer;gelegentlich;selten;immer;nie;nie;Ja;gelegentlich;gelegentlich;immer;nie;immer;nie;nie;immer;selten;k. A.;Ja;18-29;weiblich;Nein;;;;;Ja
1100364;Nein;Ministerium des Innern;Nein;gelegentlich;nie;selten;immer;immer;nie;immer;nie;Ja;nie;immer;gelegentlich;immer;nie;Ja;nie;nie;k. A.;k. A.;k. A.;immer;immer;nie;nie;nie;immer;immer;immer;nie;Nein;immer;immer;selten;immer;selten;;nie;k. A.;selten;selten;oft;nie;nie;k. A.;immer;nie;nie;selten;Ja;60-69;männlich;Ja;Wohnung;Ohne Strom;2;2.400;Ja
1100365;Ja;Ministerium des Innern;Nein;oft;nie;k. A.;oft;gelegentlich;nie;oft;k. A.;Nein;gelegentlich;gelegentlich;oft;nie;nie;k. A.;nie;selten;gelegentlich;nie;nie;immer;oft;nie;selten;nie;immer;immer;oft;selten;k. A.;oft;immer;oft;nie;immer;nie;selten;k. A.;gelegentlich;gelegentlich;nie;nie;nie;nie;immer;nie;nie;selten;Nein;40-49;männlich;Ja;Haus;Ohne Strom;5;9.500;Ja
1100366;Ja;Ministerium des Innern;Nein;nie;nie;nie;immer;immer;nie;immer;immer;Ja;immer;immer;immer;immer;oft;Ja;gelegentlich;selten;gelegentlich;nie;nie;immer;immer;selten;nie;nie;gelegentlich;immer;oft;nie;Ja;immer;immer;;nie;immer;oft;;Ja;selten;selten;selten;nie;nie;nie;immer;selten;gelegentlich;oft;Nein;50-59;männlich;Ja;Haus;Ohne Strom;2;5.000;Ja
1100367;Ja;Ministerium des Innern;Nein;selten;nie;k. A.;oft;selten;nie;oft;selten;Ja;nie;k. A.;gelegentlich;k. A.;selten;k. A.;selten;selten;oft;nie;k. A.;oft;selten;nie;selten;gelegentlich;selten;nie;oft;gelegentlich;Ja;selten;gelegentlich;oft;immer;oft;gelegentlich;gelegentlich;Ja;gelegentlich;oft;oft;nie;selten;k. A.;oft;selten;nie;oft;Nein;18-29;weiblich;Nein;;;;;Ja
1100368;Ja;Ministerium des Innern;Nein;immer;nie;selten;k. A.;immer;nie;immer;k. A.;Nein;nie;gelegentlich;selten;nie;oft;k. A.;nie;selten;gelegentlich;nie;immer;immer;immer;gelegentlich;selten;nie;gelegentlich;oft;oft;nie;Nein;nie;gelegentlich;oft;selten;immer;oft;nie;Nein;gelegentlich;gelegentlich;nie;nie;k. A.;k. A.;immer;nie;oft;immer;Nein;40-49;männlich;Nein;;;;;Ja
1100370;Ja;Ministerium des Innern;Nein;oft;immer;k. A.;immer;oft;nie;oft;k. A.;Nein;selten;oft;gelegentlich;nie;nie;Ja;nie;nie;oft;immer;k. A.;immer;gelegentlich;nie;nie;nie;oft;gelegentlich;oft;selten;Ja;selten;k. A.;gelegentlich;k. A.;oft;gelegentlich;nie;k. A.;oft;gelegentlich;nie;nie;nie;nie;immer;nie;nie;oft;Nein;18-29;weiblich;Nein;;;;;Ja
1100371;Ja;Ministerium des Innern;Nein;nie;nie;nie;gelegentlich;oft;nie;oft;k. A.;Nein;oft;nie;selten;nie;nie;Nein;nie;selten;nie;nie;nie;nie;nie;nie;nie;nie;selten;oft;selten;gelegentlich;Nein;selten;gelegentlich;gelegentlich;gelegentlich;immer;gelegentlich;gelegentlich;Ja;gelegentlich;gelegentlich;nie;nie;nie;nie;immer;selten;nie;gelegentlich;Nein;40-49;männlich;Ja;Haus;Ohne Strom;4;3.600;Ja
1100372;Ja;Ministerium des Innern;Ja;immer;nie;k. A.;immer;immer;gelegentlich;immer;k. A.;Ja;immer;k. A.;immer;nie;nie;Nein;nie;gelegentlich;immer;nie;k. A.;selten;immer;gelegentlich;gelegentlich;nie;gelegentlich;oft;oft;gelegentlich;Ja;immer;gelegentlich;oft;nie;oft;oft;oft;Ja;selten;gelegentlich;nie;nie;nie;nie;oft;nie;nie;oft;Nein;50-59;männlich;Nein;;;;;Ja
1100375;Ja;Ministerium des Innern;Ja;nie;nie;k. A.;oft;immer;selten;nie;nie;Nein;nie;nie;nie;nie;nie;Nein;nie;oft;selten;nie;immer;oft;oft;oft;gelegentlich;nie;gelegentlich;;immer;nie;Nein;nie;immer;nie;nie;oft;selten;nie;Nein;selten;immer;immer;nie;nie;nie;nie;oft;gelegentlich;k. A.;Ja;40-49;weiblich;Nein;;;;;Ja
1100377;Nein;Ministerium des Innern;Nein;gelegentlich;nie;k. A.;immer;immer;gelegentlich;oft;k. A.;Nein;nie;oft;oft;nie;gelegentlich;Ja;gelegentlich;gelegentlich;gelegentlich;nie;immer;immer;immer;gelegentlich;oft;nie;oft;selten;oft;nie;Nein;selten;immer;oft;selten;immer;gelegentlich;nie;Ja;oft;oft;nie;nie;nie;k. A.;oft;selten;nie;immer;Nein;40-49;weiblich;Ja;Wohnung;Ohne Strom;2;1.200;Ja
1100378;Ja;Ministerium des Innern;Nein;oft;immer;nie;immer;oft;immer;immer;immer;k. A.;nie;immer;gelegentlich;nie;nie;Ja;selten;selten;immer;immer;k. A.;immer;oft;immer;immer;gelegentlich;gelegentlich;nie;immer;immer;Nein;nie;oft;immer;k. A.;immer;nie;immer;Ja;selten;selten;nie;nie;nie;k. A.;gelegentlich;nie;gelegentlich;immer;Nein;60-69;männlich;Ja;Wohnung;Mit Strom;1;1.212;Ja
1100380;Nein;Ministerium des Innern;Nein;oft;nie;nie;immer;oft;immer;immer;k. A.;Ja;selten;selten;immer;immer;selten;Ja;nie;selten;gelegentlich;nie;immer;immer;immer;nie;nie;gelegentlich;nie;oft;immer;immer;Ja;oft;selten;immer;gelegentlich;oft;gelegentlich;nie;Ja;oft;selten;immer;nie;nie;nie;oft;selten;gelegentlich;immer;Nein;30-39;männlich;Ja;Wohnung;Mit Strom;5;2.500;Ja
1100381;Ja;Ministerium des Innern;Ja;selten;nie;k. A.;immer;immer;k. A.;immer;immer;k. A.;nie;k. A.;oft;k. A.;selten;k. A.;nie;gelegentlich;k. A.;k. A.;k. A.;oft;immer;oft;oft;selten;selten;nie;oft;nie;k. A.;selten;immer;oft;immer;gelegentlich;nie;nie;Ja;selten;gelegentlich;gelegentlich;nie;gelegentlich;k. A.;selten;gelegentlich;selten;immer;Nein;40-49;weiblich;Nein;;;;;Ja
1100382;Ja;Ministerium des Innern;Nein;selten;nie;nie;immer;immer;nie;gelegentlich;immer;Nein;nie;immer;oft;gelegentlich;nie;Ja;gelegentlich;gelegentlich;immer;nie;k. A.;immer;immer;immer;gelegentlich;selten;gelegentlich;immer;immer;nie;Nein;nie;immer;immer;oft;immer;selten;nie;Ja;oft;oft;immer;nie;gelegentlich;nie;nie;immer;selten;gelegentlich;Ja;30-39;männlich;Ja;Wohnung;Ohne Strom;3;2.500;Ja
1100383;Ja;Ministerium des Innern;Nein;selten;oft;k. A.;immer;oft;nie;oft;k. A.;Nein;gelegentlich;k. A.;selten;k. A.;k. A.;Ja;gelegentlich;gelegentlich;selten;immer;k. A.;immer;oft;oft;gelegentlich;oft;gelegentlich;nie;oft;nie;Nein;gelegentlich;oft;selten;immer;immer;oft;nie;Ja;oft;gelegentlich;nie;nie;nie;k. A.;immer;nie;gelegentlich;oft;Nein;30-39;männlich;Ja;Wohnung;Ohne Strom;2;825;Ja
1100384;Ja;Ministerium des Innern;Ja;immer;immer;nie;immer;immer;gelegentlich;immer;immer;Ja;nie;immer;immer;immer;nie;Ja;gelegentlich;gelegentlich;immer;immer;immer;immer;immer;gelegentlich;immer;k. A.;;;gelegentlich;nie;Ja;nie;immer;immer;k. A.;oft;selten;nie;k. A.;oft;gelegentlich;oft;nie;nie;nie;gelegentlich;gelegentlich;nie;immer;Nein;50-59;männlich;Ja;Haus;Ohne Strom;4;2.700;Ja
1100385;Ja;Ministerium des Innern;Nein;nie;nie;k. A.;immer;immer;nie;selten;k. A.;Ja;nie;gelegentlich;gelegentlich;nie;oft;k. A.;selten;selten;selten;nie;immer;immer;immer;oft;immer;nie;immer;oft;immer;nie;Ja;selten;immer;oft;oft;oft;gelegentlich;nie;Ja;gelegentlich;selten;nie;nie;nie;nie;oft;nie;nie;immer;Nein;40-49;männlich;Nein;;;;;Ja
1100386;Ja;Ministerium des Innern;Ja;immer;immer;selten;oft;oft;oft;selten;oft;Nein;nie;selten;immer;gelegentlich;selten;Ja;selten;gelegentlich;immer;immer;oft;oft;gelegentlich;gelegentlich;nie;nie;gelegentlich;gelegentlich;gelegentlich;immer;Nein;nie;oft;oft;selten;immer;gelegentlich;gelegentlich;Ja;oft;oft;selten;nie;nie;nie;oft;nie;nie;immer;Nein;40-49;männlich;Ja;Wohnung;Ohne Strom;4;1.500;Ja
1100387;Ja;Ministerium des Innern;Nein;oft;oft;selten;oft;oft;selten;k. A.;k. A.;Ja;immer;immer;immer;immer;gelegentlich;Ja;selten;selten;k. A.;k. A.;k. A.;immer;immer;gelegentlich;gelegentlich;nie;gelegentlich;nie;oft;nie;k. A.;immer;immer;immer;immer;immer;gelegentlich;nie;Ja;immer;nie;nie;nie;nie;nie;immer;nie;nie;selten;Nein;40-49;männlich;Nein;;;;;Ja
1100388;Ja;Ministerium des Innern;Nein;immer;nie;nie;immer;k. A.;oft;immer;k. A.;Ja;nie;nie;selten;nie;gelegentlich;Nein;selten;gelegentlich;selten;nie;k. A.;immer;immer;oft;immer;nie;gelegentlich;nie;oft;nie;Ja;oft;selten;k. A.;k. A.;immer;gelegentlich;nie;k. A.;gelegentlich;gelegentlich;selten;nie;nie;nie;oft;selten;nie;immer;Nein;40-49;männlich;Ja;Haus;Ohne Strom;4;5.000;Ja
1100390;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Ja;immer;selten;k. A.;immer;immer;oft;immer;k. A.;Nein;gelegentlich;k. A.;selten;k. A.;gelegentlich;Ja;k. A.;gelegentlich;gelegentlich;selten;immer;immer;oft;oft;oft;nie;oft;gelegentlich;oft;nie;Nein;gelegentlich;immer;immer;immer;immer;gelegentlich;nie;Ja;gelegentlich;gelegentlich;selten;nie;gelegentlich;k. A.;oft;selten;k. A.;selten;Nein;30-39;weiblich;Ja;Haus;Mit Strom;3;2.629;Ja
1100391;Ja;Ministerium des Innern;Ja;immer;nie;k. A.;immer;k. A.;nie;immer;k. A.;Ja;nie;k. A.;nie;k. A.;nie;Ja;k. A.;nie;immer;nie;k. A.;immer;nie;nie;nie;nie;immer;nie;immer;nie;Ja;oft;oft;nie;k. A.;immer;immer;nie;Ja;nie;nie;nie;nie;k. A.;k. A.;immer;nie;selten;oft;Nein;18-29;weiblich;Nein;;;;;Ja
1100393;Ja;Ministerium des Innern;Nein;nie;nie;nie;immer;immer;nie;immer;nie;Ja;nie;immer;immer;nie;nie;Nein;gelegentlich;gelegentlich;selten;nie;nie;immer;immer;nie;nie;nie;gelegentlich;gelegentlich;immer;gelegentlich;Ja;nie;immer;immer;nie;immer;oft;gelegentlich;Ja;gelegentlich;gelegentlich;selten;nie;selten;nie;selten;nie;nie;oft;Nein;40-49;männlich;Ja;Haus;Ohne Strom;3;5.500;Ja
1100394;Ja;Ministerium für Kultur und Wissenschaft;Ja;oft;immer;immer;immer;nie;k. A.;immer;immer;Ja;nie;immer;immer;immer;oft;Ja;selten;gelegentlich;immer;immer;k. A.;immer;gelegentlich;oft;selten;selten;oft;oft;immer;nie;Ja;nie;immer;immer;immer;immer;immer;nie;Ja;gelegentlich;selten;nie;nie;oft;k. A.;selten;selten;nie;immer;Nein;50-59;weiblich;Nein;;;;;Ja
1100395;Ja;Ministerium für Wirtschaft, Industrie, Klimaschutz und Energie;Ja;nie;nie;k. A.;immer;nie;nie;immer;k. A.;Ja;nie;nie;k. A.;k. A.;selten;k. A.;gelegentlich;gelegentlich;nie;nie;nie;immer;nie;nie;oft;nie;oft;oft;oft;nie;Nein;gelegentlich;immer;immer;nie;immer;gelegentlich;gelegentlich;Nein;immer;immer;gelegentlich;nie;oft;nie;nie;gelegentlich;gelegentlich;nie;Nein;50-59;weiblich;Nein;;;;;Ja
1100396;Nein;Ministerium der Justiz;Nein;nie;nie;nie;immer;nie;nie;immer;k. A.;Nein;immer;nie;gelegentlich;gelegentlich;nie;Ja;nie;nie;nie;nie;immer;immer;immer;;gelegentlich;nie;immer;immer;immer;immer;Nein;nie;immer;oft;immer;immer;selten;oft;Ja;nie;gelegentlich;nie;nie;nie;nie;immer;nie;gelegentlich;oft;Nein;40-49;weiblich;Nein;;;;;Ja
1100397;Ja;Ministerium des Innern;Ja;nie;selten;k. A.;immer;immer;nie;immer;immer;Nein;gelegentlich;oft;gelegentlich;nie;nie;k. A.;gelegentlich;gelegentlich;nie;gelegentlich;k. A.;immer;oft;selten;nie;nie;selten;oft;oft;selten;Nein;gelegentlich;immer;oft;selten;immer;gelegentlich;selten;Ja;gelegentlich;gelegentlich;selten;nie;selten;k. A.;selten;nie;nie;oft;Nein;30-39;weiblich;Nein;;;;;Ja
1100398;Ja;Ministerium des Innern;Ja;immer;nie;k. A.;;oft;selten;oft;k. A.;k. A.;nie;nie;gelegentlich;selten;gelegentlich;Nein;oft;oft;immer;nie;nie;immer;immer;oft;immer;nie;oft;oft;immer;gelegentlich;Ja;oft;oft;immer;nie;oft;immer;oft;k. A.;immer;immer;selten;nie;nie;nie;immer;selten;oft;gelegentlich;Nein;30-39;männlich;Ja;Haus;Ohne Strom;4;2.500;Ja
1100399;Ja;Ministerium des Innern;Nein;selten;nie;nie;immer;immer;gelegentlich;immer;immer;Ja;nie;immer;gelegentlich;oft;nie;k. A.;gelegentlich;gelegentlich;gelegentlich;nie;immer;immer;immer;gelegentlich;oft;selten;oft;selten;gelegentlich;selten;Ja;nie;immer;oft;oft;oft;selten;selten;Ja;oft;gelegentlich;oft;nie;k. A.;k. A.;gelegentlich;selten;selten;oft;Nein;40-49;weiblich;Ja;Wohnung;Ohne Strom;4;3.671;Ja
1100400;Ja;Ministerium des Innern;Nein;immer;nie;k. A.;immer;k. A.;nie;oft;k. A.;Nein;nie;oft;oft;nie;nie;Nein;selten;gelegentlich;nie;nie;immer;immer;immer;gelegentlich;selten;nie;selten;gelegentlich;immer;gelegentlich;Nein;gelegentlich;oft;gelegentlich;nie;immer;gelegentlich;gelegentlich;k. A.;gelegentlich;oft;nie;nie;nie;gelegentlich;oft;selten;selten;gelegentlich;Nein;30-39;weiblich;Ja;Haus;Ohne Strom;3;5.000;Ja
1100402;Ja;Ministerium des Innern;Nein;immer;nie;k. A.;immer;immer;nie;gelegentlich;k. A.;k. A.;selten;k. A.;oft;k. A.;gelegentlich;k. A.;selten;gelegentlich;oft;selten;oft;oft;oft;gelegentlich;immer;selten;gelegentlich;nie;oft;nie;Nein;selten;k. A.;oft;k. A.;immer;gelegentlich;nie;k. A.;selten;selten;selten;nie;gelegentlich;nie;selten;gelegentlich;gelegentlich;oft;Nein;50-59;männlich;Ja;Wohnung;Mit Strom;1;2.300;Ja
1100403;Ja;Ministerium für Wirtschaft, Industrie, Klimaschutz und Energie;Ja;oft;oft;selten;oft;immer;immer;immer;k. A.;k. A.;nie;k. A.;k. A.;k. A.;nie;Ja;oft;selten;oft;oft;selten;immer;immer;immer;immer;selten;oft;gelegentlich;immer;selten;k. A.;selten;oft;oft;oft;immer;nie;selten;Ja;gelegentlich;gelegentlich;immer;nie;k. A.;k. A.;k. A.;nie;selten;k. A.;Ja;60-69;weiblich;Nein;;;;;Ja
1100404;Ja;Ministerium des Innern;Nein;selten;nie;nie;immer;oft;nie;oft;selten;Nein;selten;;k. A.;nie;immer;k. A.;selten;selten;k. A.;k. A.;k. A.;immer;oft;gelegentlich;immer;nie;oft;oft;oft;nie;k. A.;nie;selten;nie;nie;oft;immer;nie;k. A.;gelegentlich;selten;nie;nie;nie;nie;immer;nie;oft;selten;Nein;30-39;weiblich;;;;;;Ja
1100405;Nein;Ministerium des Innern;Ja;gelegentlich;immer;k. A.;immer;immer;k. A.;k. A.;k. A.;Ja;nie;immer;gelegentlich;oft;selten;k. A.;oft;oft;immer;immer;immer;immer;immer;immer;immer;gelegentlich;gelegentlich;oft;immer;nie;Ja;nie;immer;immer;immer;immer;selten;nie;Ja;immer;oft;nie;nie;nie;nie;immer;nie;selten;immer;Nein;40-49;weiblich;Nein;;;;;Ja
1100406;Ja;Ministerium des Innern;Nein;immer;nie;nie;immer;immer;gelegentlich;immer;k. A.;Ja;nie;oft;gelegentlich;gelegentlich;nie;Ja;immer;oft;immer;gelegentlich;nie;immer;selten;gelegentlich;selten;nie;oft;immer;immer;gelegentlich;Ja;gelegentlich;immer;oft;oft;oft;selten;selten;Ja;immer;oft;nie;nie;nie;nie;immer;nie;nie;immer;Nein;50-59;männlich;Ja;Haus;Ohne Strom;3;7.500;Ja
1100407;Ja;Ministerium des Innern;Nein;immer;k. A.;k. A.;oft;immer;k. A.;oft;k. A.;k. A.;nie;oft;oft;nie;k. A.;Nein;k. A.;nie;nie;nie;k. A.;oft;oft;selten;nie;nie;k. A.;oft;immer;nie;k. A.;nie;k. A.;k. A.;k. A.;immer;oft;nie;k. A.;nie;selten;nie;nie;k. A.;k. A.;oft;nie;oft;oft;Nein;30-39;weiblich;Nein;;;;;Ja
1100419;Ja;Ministerium des Innern;Nein;immer;selten;nie;immer;oft;nie;oft;selten;Ja;nie;selten;selten;oft;selten;Ja;selten;selten;oft;gelegentlich;immer;immer;oft;gelegentlich;immer;selten;oft;selten;oft;immer;Ja;selten;oft;oft;;immer;selten;immer;Ja;gelegentlich;selten;nie;nie;nie;nie;gelegentlich;nie;selten;oft;Nein;50-59;männlich;Nein;;;;;Ja
1100421;Ja;Ministerium des Innern;Nein;selten;selten;nie;immer;immer;oft;k. A.;nie;Nein;gelegentlich;gelegentlich;oft;oft;nie;Ja;selten;selten;immer;k. A.;oft;immer;oft;immer;gelegentlich;selten;oft;oft;oft;nie;Nein;oft;oft;k. A.;k. A.;immer;nie;nie;k. A.;gelegentlich;gelegentlich;nie;nie;nie;k. A.;immer;nie;selten;oft;Nein;40-49;männlich;Ja;Haus;Mit Strom;4;7.500;Ja
1100429;Ja;Ministerium des Innern;Nein;gelegentlich;nie;immer;immer;immer;gelegentlich;immer;selten;Ja;nie;immer;immer;immer;nie;Ja;gelegentlich;gelegentlich;gelegentlich;nie;immer;immer;immer;selten;immer;gelegentlich;immer;immer;immer;nie;Ja;nie;immer;immer;immer;gelegentlich;nie;nie;Ja;gelegentlich;gelegentlich;oft;nie;gelegentlich;nie;immer;nie;gelegentlich;immer;Nein;40-49;weiblich;Nein;;;;;Ja
1100444;Ja;Ministerium des Innern;Nein;immer;nie;nie;oft;gelegentlich;nie;oft;k. A.;Ja;selten;oft;nie;nie;nie;Ja;gelegentlich;gelegentlich;immer;selten;immer;immer;oft;oft;nie;nie;oft;nie;immer;gelegentlich;Nein;selten;immer;gelegentlich;nie;immer;nie;selten;Ja;gelegentlich;gelegentlich;oft;nie;nie;nie;gelegentlich;selten;nie;oft;Nein;30-39;männlich;Ja;Wohnung;Ohne Strom;2;1.200;Ja
1100445;Ja;Ministerium des Innern;Nein;immer;nie;nie;immer;immer;nie;immer;k. A.;Nein;oft;immer;k. A.;k. A.;nie;Ja;k. A.;k. A.;k. A.;k. A.;k. A.;oft;immer;nie;nie;nie;nie;nie;nie;immer;Nein;gelegentlich;oft;gelegentlich;gelegentlich;immer;oft;immer;Nein;nie;nie;oft;nie;nie;k. A.;oft;selten;immer;oft;Nein;18-29;männlich;Nein;;;;;Ja
1100450;Ja;Ministerium des Innern;Nein;immer;selten;nie;oft;oft;selten;oft;k. A.;Nein;selten;selten;oft;selten;oft;Ja;selten;gelegentlich;oft;selten;nie;oft;oft;nie;nie;k. A.;selten;oft;gelegentlich;selten;Nein;selten;immer;gelegentlich;selten;oft;oft;selten;Ja;gelegentlich;gelegentlich;oft;k. A.;k. A.;k. A.;gelegentlich;selten;selten;oft;Nein;50-59;männlich;Nein;;;;;Ja
1100452;Ja;Ministerium des Innern;Nein;nie;nie;nie;oft;immer;nie;immer;k. A.;Nein;oft;immer;immer;nie;k. A.;Ja;gelegentlich;selten;nie;nie;immer;immer;immer;selten;nie;nie;oft;oft;immer;oft;Nein;oft;immer;oft;nie;;oft;nie;Ja;gelegentlich;gelegentlich;nie;nie;nie;k. A.;oft;nie;nie;immer;Nein;40-49;männlich;Ja;Haus;Ohne Strom;4;4.500;Ja
1100453;Ja;Ministerium des Innern;Ja;gelegentlich;nie;immer;immer;immer;nie;immer;k. A.;Ja;nie;immer;immer;immer;gelegentlich;Ja;oft;oft;k. A.;k. A.;k. A.;immer;immer;nie;immer;nie;immer;immer;immer;immer;k. A.;nie;immer;immer;immer;immer;gelegentlich;immer;Ja;immer;immer;gelegentlich;k. A.;k. A.;k. A.;oft;nie;nie;immer;Nein;60-69;männlich;Ja;Wohnung;Ohne Strom;2;2.500;Ja
1100455;Ja;Ministerium des Innern;Nein;nie;nie;nie;gelegentlich;immer;nie;gelegentlich;k. A.;k. A.;nie;nie;nie;nie;oft;Nein;selten;gelegentlich;oft;nie;immer;immer;immer;gelegentlich;gelegentlich;nie;selten;immer;oft;oft;k. A.;nie;immer;immer;immer;immer;oft;immer;Ja;immer;oft;selten;nie;nie;nie;immer;nie;nie;gelegentlich;Nein;40-49;männlich;Ja;Haus;Ohne Strom;5;3.500;Ja
1100456;Ja;Ministerium des Innern;Ja;nie;gelegentlich;nie;gelegentlich;gelegentlich;nie;oft;k. A.;Nein;nie;selten;selten;immer;nie;Ja;selten;gelegentlich;immer;gelegentlich;immer;oft;oft;oft;gelegentlich;nie;k. A.;gelegentlich;gelegentlich;immer;Nein;oft;oft;oft;immer;immer;gelegentlich;immer;Ja;gelegentlich;gelegentlich;nie;nie;nie;nie;nie;nie;nie;oft;Nein;40-49;männlich;Ja;Haus;Ohne Strom;4;4.000;Ja
1100460;Ja;Ministerium des Innern;Nein;selten;nie;gelegentlich;immer;oft;nie;gelegentlich;selten;;gelegentlich;nie;oft;gelegentlich;oft;Ja;gelegentlich;nie;immer;nie;immer;immer;nie;nie;immer;nie;oft;oft;immer;immer;Nein;oft;nie;oft;nie;oft;oft;immer;k. A.;nie;nie;immer;nie;nie;nie;oft;selten;;immer;Nein;40-49;männlich;Ja;Wohnung;Ohne Strom;4;3.700;Ja
1100461;Ja;Ministerium für Wirtschaft, Industrie, Klimaschutz und Energie;Ja;oft;gelegentlich;immer;immer;oft;gelegentlich;immer;immer;Nein;selten;immer;k. A.;k. A.;gelegentlich;Ja;gelegentlich;gelegentlich;gelegentlich;gelegentlich;oft;immer;oft;gelegentlich;gelegentlich;selten;gelegentlich;gelegentlich;immer;gelegentlich;Nein;gelegentlich;immer;oft;oft;oft;gelegentlich;gelegentlich;Ja;gelegentlich;gelegentlich;oft;nie;oft;selten;selten;gelegentlich;nie;oft;Nein;50-59;weiblich;Ja;Haus;Ohne Strom;4;2.500;Ja
1100462;Ja;Ministerium des Innern;Ja;immer;nie;nie;immer;immer;nie;oft;k. A.;Nein;nie;selten;k. A.;selten;nie;k. A.;nie;selten;immer;nie;immer;immer;selten;immer;nie;nie;gelegentlich;immer;oft;oft;Nein;nie;immer;selten;selten;immer;oft;oft;k. A.;gelegentlich;gelegentlich;nie;nie;k. A.;k. A.;immer;nie;nie;selten;Nein;50-59;weiblich;Nein;;;;;Ja
