id;einwilligung_teaser;aenderungsmitteilung;name_anbieter;kurzbeschreibung_des_anbieters;kurzbeschreibung_des_angebots;art_der_ermaessigung;website;strasse_und_hausnummer_des_angebots;plz_und_ort_des_angebots;gratis;kategorie;zielgruppen;freigabe;ansprechperson_anrede;ansprechperson_name;ansprechperson_email;einwilligung;empfaenger_recipient;empfaenger_subject;create_date;update_date
284;;;"Tempelhof Museum";"Das Tempelhof Museum ist ein Regionalmuseum in Berlin, das generationenübergreifend die Geschichte des ehemaligen Bezirks Tempelhof präsentiert.";;"freier Eintritt für alle Besucher*innen";www.museen-tempelhof-schoeneberg.de;"Alt-Mariendorf 43";"12107 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-09-07 15:22:34";"2025-02-24 14:50:01"
285;;;"Tennis Borussia Berlin";"Der Fußball Verein Tennis Borussia spielt im Mommsenstadium in Berlin Westend.";;"Ermäßigung bei Heimspielen im Mommsenstadion (Waldschulallee 34, 14055 Berlin)";www.tebe.de;"Waldschulallee 34-42";"14055 Berlin";nein;Sport;"Erwachsene, Senioren, Familie";;;;;;;;"2025-09-08 15:22:34";"2025-02-24 14:50:02"
286;;;"Theater im Keller";"Das Theater im Keller in Berlin-Neukölln ist ein etabliertes Kleinkunst-Theater mit Barbereich, bekannt für seine Travestieshows, die Gesang und Tanz kombinieren.";;"ermäßigter Preis jeden Donnerstag, Nachweis-Inhaber*innen zahlen auf allen Plätzen den ermäßigten Preis von 29 Euro anstatt 49 Euro.";http://www.travestieshow.info/;"Weserstr. 211";"12047 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-09-09 15:22:34";"2025-02-24 14:50:02"
287;;;"Theater Jaro";"Das Theater Jaro in Berlin-Wilmersdorf bietet eine einzigartige Kombination aus Puppenspiel, Schauspiel und Live-Musik, ideal für Kinder und ein Foyer-Café.";;"Kinderpreis für Erwachsene";www.theater-jaro.de;"Schlangenbader Str. 30";"14197 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-09-10 15:22:34";"2025-02-24 14:50:03"
288;;;"Theater Mirakulum - Puppenkomödie Berlin";"Das Theater mit 75 Plätzen und Kaffeebar präsentiert Märchen, Kinderstücke und Goethes Faust als Puppenspiele.";;"ermäßigter Eintritt für alle Aufführungen (außer Abendprogramm): Kinder 7 Euro, Erwachsene 11 Euro";www.mirakulum.de;"Brunnenstraße 35";"10115 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-09-11 15:22:34";"2025-02-24 14:50:03"
289;;;"Theater o.N.";"Das Theater o.N. in Berlin ist ein freies Theaterensemble, das über eine eigene Spielstätte verfügt und ein festes Repertoire pflegt. Ursprünglich 1979/80 unter dem Namen Zinnober gegründet, war es das erste freie Theater in der DDR.";;"ermäßigter Eintritt, Nachweis-Inhaber*innen und ihre Kinder zahlen 3 Euro pro Person;  https://www.theater-on.de/tickets-service";www.theater-on.de;"Kollwitzstraße 53";"10405 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-09-12 15:22:34";"2025-02-24 14:50:04"
290;;;"THEATER STRAHL";"Zeitgenössisches und anspruchsvolles Theater für junges Publikum. Theater Strahl entwickelt  Stücke für Menschen ab 12 Jahren, die sich mit Perspektiven, Ängsten, Wünschen und Fähigkeiten junger Menschen auseinandersetzen und in ihren gesellschaftlichen Kontext stellen.";;"""3 Euro Ticket"""". Eine Stunde vor Vorstellungsbeginn erhältlich. Reservierungen sind einen Tag vor der gewünschten Vorstellung möglich.""";www.theater-strahl.de;"Marktstraße 11";"10317 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-09-13 15:22:34";"2025-02-24 14:50:04"
291;;;"Theater unterm Dach";"Produktions- und Aufführungsort für zeitgenössisches Sprechtheater der Freien Szene Berlins. Als kommunales Theater des Bezirksamts Pankow ist die Förderung von Autor*innen und Regieseur*innen erklärtes Ziel, sowie die Unterstützung frei arbeitender Schauspieler*innen und Ensembles.";;"freie Theaterprojekte (Sprechtheater)";http://www.theateruntermdach-berlin.de/;"Danziger Str. 101";"10405 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-09-14 15:22:34";"2025-02-24 14:50:05"
292;;;"Tierpark Berlin";"Im Herzen des einstigen Ost-Berlin, unweit des Alexanderplatzes, erstreckt sich der Tierpark Berlin auf 160 Hektar  der größte Tierpark Europas! Dort umgibt das historische Schloss Friedrichsfelde eine einzigartige Parklandschaft, in der Tiere aus aller Welt leben.";;"ermäßigter Tageseintritt bzw. ermäßigte Jahreskarten für Nachweis-Inhaber*innen. Mo-Fr gilt eine zusätzliche Vergünstigung (Wochenenden und Feiertage ausgenommen)";www.tierpark-berlin.de;"Am Tierpark 125";"10319 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-09-15 15:22:34";"2025-02-24 14:50:05"
294;;;"Topographie des Terrors";"Das Projekt ""Topographie des Terrors"""" widmet sich der Dokumentation und Aufarbeitung der nationalsozialistischen Gewaltherrschaft in Deutschland. Es bietet eine Dauerausstellung auch wechselnde Sonderausstellungen.""";;"freier Eintritt für alle Besucher*innen";www.topographie.de/;"Niederkirchnerstraße 8";"10963 Berlin";ja;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-09-17 15:22:34";"2025-02-24 14:50:06"
295;;;Tränenpalast;"Der Tränenpalast, ursprünglich als Abfertigungshalle für die Ausreise von Ost- nach Westberlin genutzt, dient heute als Ausstellungsort. Hier wird an den Alltag in der DDR und die oft emotionalen Abschiede erinnert, die dort stattfanden.";;"freier Eintritt für alle Besucher*innen ?ñffentliche Begleitung durch die Ausstellung jeden Sonntag um 15 Uhr und jeden Freitag um 17 Uhr | siehe Website";www.hdg.de/berlin/traenenpalast/;"Reichstagufer 17";"10117 Berlin";ja;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-09-18 15:22:34";"2025-02-24 14:50:06"
296;;;"tuesday coworking space berlin - Schöneberg";"Der tuesday coworking space bietet Arbeits- und Meetingräume und setzt einen Fokus auf Freelancer.";;"ermäßigte Angebote  - 10% Nachlass";www.tuesdaycoworking.com;"Belziger Str. 69-71";"10823 Berlin";nein;"Bildung & Beratung";Erwachsene;;;;;;;;"2025-09-19 15:22:34";"2025-04-24 10:37:55"
297;;;"tuesday coworking space berlin -Charlottenburg Wilmersdorf";"Der tuesday coworking space bietet Arbeits- und Meetingräume und setzt einen Fokus auf Freelancer.";;"ermäßigte Angebote  - 10% Nachlass";www.tuesdaycoworking.com;"Bundesallee 187";"10717 Berlin";nein;"Bildung & Beratung";Erwachsene;;;;;;;;"2025-09-20 15:22:34";"2025-04-24 10:36:12"
298;;;"tuesday coworking space berlin - Tempelhof-Schöneberg";"Der tuesday coworking space bietet Arbeits- und Meetingräume und setzt einen Fokus auf Freelancer.";;"ermäßigte Angebote  - 10% Nachlass";www.tuesdaycoworking.com;"Feurigstraße 51";"10827 Berlin";nein;"Bildung & Beratung";Erwachsene;;;;;;;;"2025-09-21 15:22:34";"2025-04-24 10:32:20"
299;;;ufaFabrik;"Seit 1979 dient das Gelände der ehemaligen UFA-Film Kopierwerke in Berlin Tempelhof als ufaFabrik. Das Angebot umfasst Performances, Workshops und ökologische Projekte, ergänzt durch eine Bäckerei und ein Café.";;"Sonder- und Kinderveranstaltungen und Vermietungen sind von den Ermäßigungen ausgenommen.";www.ufafabrik.de;"Viktoriastraße 10-18";"12105 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-09-22 15:22:34";"2025-02-24 14:50:08"
300;;;"Urania Berlin";"Die 1888 gegründete Berliner Urania hat das Ziel, wissenschaftliche Erkenntnisse einem breiten Publikum näherzubringen. Heute ist sie als gemeinnützige Kultur- und Bildungseinrichtung bekannt und bietet ein vielseitiges Programm an.";;"ermäßigter Preis, Nachweis-Inhaber*innen zahlen gegen Vorlage des Passes den ermäßigten Preis, den Schwerbehinderte, Pensionäre bzw. Renter*innen zahlen.";http://www.urania.de/;"An d. Urania 17";"10787 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-09-23 15:22:34";"2025-02-24 14:50:09"
301;;;Vaganten-Bühne;"Die Vaganten Bühne zählt zu den ältesten Privattheatern Berlins und bietet seit mehr als 65 Spielzeiten ein reichhaltiges und abwechslungsreiches Programm.";;"ermäßigte Eintrittskarten. Nachweis-Inhaber*innen erhalten gegen Vorlage des Nachweiseses Karten zu 8 Euro. Ausgenommen von dieser Regelung sind Sonderveranstaltungen. Hier gelten die regulären Ermäßigungspreise.";www.vaganten.de;"Kantstraße 12A";"10623 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-09-24 15:22:34";"2025-02-24 14:50:09"
302;;;Volksbühne;"Ein Theater, das polarisiert: Die Volksbühne am Rosa-Luxemburg-Platz macht sich durch bekannte Namen und radikale Inszenierungen einen Namen.";;"""3 Euro Ticket"""", Alle Repertoirevorstellungen im Großen Haus, auch im Vorverkauf und an der Abendkasse, keine Reservierungen""";http://www.volksbuehne-berlin.de;"Linienstraße 227";"10178 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-09-25 15:22:34";"2025-02-24 14:50:09"
303;;;"Volkshochschule Charlottenburg-Wilmersdorf";"Von Sprachkursen über Kunst und Kultur bis hin zu beruflicher Weiterbildung und Gesundheitsprogrammen  die Volkshochschulen in Berlin ermöglichen es Menschen aller Altersgruppen, ihre Kenntnisse zu erweitern und neue Fähigkeiten zu erlernen.";;"Entgeltermäßigungen in Höhe von 50 %, Ausführungsvorschriften über Entgelte der Volkshochschulen finden Sie bei den einzelnen Angeboten.";http://www.vhs-city-west.de/;"Pestalozzistraße 40-41";"10627 Berlin";nein;"Bildung & Beratung";"Erwachsene, Senioren, Familie";;;;;;;;"2025-09-26 15:22:34";"2025-02-24 14:50:10"
304;;;"Volkshochschule Friedrichshain-Kreuzberg";"Von Sprachkursen über Kunst und Kultur bis hin zu beruflicher Weiterbildung und Gesundheitsprogrammen  die Volkshochschulen in Berlin ermöglichen es Menschen aller Altersgruppen, ihre Kenntnisse zu erweitern und neue Fähigkeiten zu erlernen.";;"Entgeltermäßigungen in Höhe von 50 % und 100 %, Ausführungsvorschriften über Entgelte der Volkshochschulen finden Sie bei den einzelnen Angeboten.";http://www.vhs-friedrichshain-kreuzberg.de/;"Wassertorstraße 4";"10969 Berlin";nein;"Bildung & Beratung";"Erwachsene, Senioren, Familie";;;;;;;;"2025-09-27 15:22:34";"2025-02-24 14:50:10"
305;;;"Volkshochschule Lichtenberg";"Von Sprachkursen über Kunst und Kultur bis hin zu beruflicher Weiterbildung und Gesundheitsprogrammen  die Volkshochschulen in Berlin ermöglichen es Menschen aller Altersgruppen, ihre Kenntnisse zu erweitern und neue Fähigkeiten zu erlernen.";;"Entgeltermäßigungen in Höhe von 50 %, Ausführungsvorschriften über Entgelte der Volkshochschulen finden Sie bei den einzelnen Angeboten.";http://www.berlin.de/vhs-lichtenberg/;"Paul-Junius-Straße 71";"10369 Berlin";nein;"Bildung & Beratung";"Erwachsene, Senioren, Familie";;;;;;;;"2025-09-28 15:22:34";"2025-02-24 14:50:11"
306;;;"Volkshochschule Marzahn-Hellersdorf";"Von Sprachkursen über Kunst und Kultur bis hin zu beruflicher Weiterbildung und Gesundheitsprogrammen  die Volkshochschulen in Berlin ermöglichen es Menschen aller Altersgruppen, ihre Kenntnisse zu erweitern und neue Fähigkeiten zu erlernen.";;"Entgeltermäßigungen in Höhe von 50 %, Ausführungsvorschriften über Entgelte der Volkshochschulen finden Sie bei den einzelnen Angeboten.";http://www.berlin.de/vhs-marzahn-hellersdorf/;"Mark-Twain-Straße 27";"12627 Berlin";nein;"Bildung & Beratung";"Erwachsene, Senioren, Familie";;;;;;;;"2025-09-29 15:22:34";"2025-02-24 14:50:11"
307;;;"Volkshochschule Mitte";"Von Sprachkursen über Kunst und Kultur bis hin zu beruflicher Weiterbildung und Gesundheitsprogrammen  die Volkshochschulen in Berlin ermöglichen es Menschen aller Altersgruppen, ihre Kenntnisse zu erweitern und neue Fähigkeiten zu erlernen.";;"Entgeltermäßigungen in Höhe von 50 %, Ausführungsvorschriften über Entgelte der Volkshochschulen finden Sie bei den einzelnen Angeboten.";http://www.berlin.de/vhs-mitte;"Linienstraße 162";"10115 Berlin";nein;"Bildung & Beratung";"Erwachsene, Senioren, Familie";;;;;;;;"2025-09-30 15:22:34";"2025-02-24 14:50:12"
308;;;"Volkshochschule Neukölln";"Von Sprachkursen über Kunst und Kultur bis hin zu beruflicher Weiterbildung und Gesundheitsprogrammen  die Volkshochschulen in Berlin ermöglichen es Menschen aller Altersgruppen, ihre Kenntnisse zu erweitern und neue Fähigkeiten zu erlernen.";;"Entgeltermäßigungen in Höhe von 50 %, Ausführungsvorschriften über Entgelte der Volkshochschulen finden Sie bei den einzelnen Angeboten.";http://www.berlin.de/ba-neukoelln/vhs/;"Boddinstraße 34";"12053 Berlin";nein;"Bildung & Beratung";"Erwachsene, Senioren, Familie";;;;;;;;"2025-10-01 15:22:34";"2025-02-24 14:50:13"
309;;;"Volkshochschule Pankow";"Von Sprachkursen über Kunst und Kultur bis hin zu beruflicher Weiterbildung und Gesundheitsprogrammen  die Volkshochschulen in Berlin ermöglichen es Menschen aller Altersgruppen, ihre Kenntnisse zu erweitern und neue Fähigkeiten zu erlernen.";;"Entgeltermäßigungen in Höhe von 50 %, Ausführungsvorschriften über Entgelte der Volkshochschulen finden Sie bei den einzelnen Angeboten.";http://www.berlin.de/vhs-pankow/;"Schulstraße 29";"13187 Berlin";nein;"Bildung & Beratung";"Erwachsene, Senioren, Familie";;;;;;;;"2025-10-02 15:22:34";"2025-02-24 14:50:13"
310;;;"Volkshochschule Reinickendorf";"Von Sprachkursen über Kunst und Kultur bis hin zu beruflicher Weiterbildung und Gesundheitsprogrammen  die Volkshochschulen in Berlin ermöglichen es Menschen aller Altersgruppen, ihre Kenntnisse zu erweitern und neue Fähigkeiten zu erlernen.";;"Entgeltermäßigungen in Höhe von 50 %, Ausführungsvorschriften über Entgelte der Volkshochschulen finden Sie bei den einzelnen Angeboten.";http://www.berlin.de/vhs-reinickendorf/;"Am Borsigturm 6";"13507 Berlin";nein;"Bildung & Beratung";"Erwachsene, Senioren, Familie";;;;;;;;"2025-10-03 15:22:34";"2025-02-24 14:50:13"
311;;;"Volkshochschule Spandau";"Von Sprachkursen über Kunst und Kultur bis hin zu beruflicher Weiterbildung und Gesundheitsprogrammen  die Volkshochschulen in Berlin ermöglichen es Menschen aller Altersgruppen, ihre Kenntnisse zu erweitern und neue Fähigkeiten zu erlernen.";;"Entgeltermäßigungen in Höhe von 50 %, Ausführungsvorschriften über Entgelte der Volkshochschulen finden Sie bei den einzelnen Angeboten.";http://www.vhs-spandau.de/;"Carl-Schurz-Straße 17";"13597 Berlin";nein;"Bildung & Beratung";"Erwachsene, Senioren, Familie";;;;;;;;"2025-10-04 15:22:34";"2025-02-24 14:50:14"
312;;;"Volkshochschule Steglitz-Zehlendorf";"Von Sprachkursen über Kunst und Kultur bis hin zu beruflicher Weiterbildung und Gesundheitsprogrammen  die Volkshochschulen in Berlin ermöglichen es Menschen aller Altersgruppen, ihre Kenntnisse zu erweitern und neue Fähigkeiten zu erlernen.";;"Entgeltermäßigungen gemäß den Ausführungsvorschriften über Entgelte der Volkshochschulen";http://www.berlin.de/vhs-steglitz-zehlendorf/;"Goethestraße 9-11";"12207 Berlin";nein;"Bildung & Beratung";"Erwachsene, Senioren, Familie";;;;;;;;"2025-10-05 15:22:34";"2025-02-24 14:50:15"
313;;;"Volkshochschule Tempelhof-Schöneberg";"Von Sprachkursen über Kunst und Kultur bis hin zu beruflicher Weiterbildung und Gesundheitsprogrammen  die Volkshochschulen in Berlin ermöglichen es Menschen aller Altersgruppen, ihre Kenntnisse zu erweitern und neue Fähigkeiten zu erlernen.";;"Entgeltermäßigungen in Höhe von 50 %, Ausführungsvorschriften über Entgelte der Volkshochschulen finden Sie bei den einzelnen Angeboten.";https://www.berlin.de/vhs-tempelhof-schoeneberg/;"Barbarossapl. 5";"10781 Berlin";nein;"Bildung & Beratung";"Erwachsene, Senioren, Familie";;;;;;;;"2025-10-06 15:22:34";"2025-02-24 14:50:15"
314;;;"Volkshochschule Treptow-Köpenick";"Von Sprachkursen über Kunst und Kultur bis hin zu beruflicher Weiterbildung und Gesundheitsprogrammen  die Volkshochschulen in Berlin ermöglichen es Menschen aller Altersgruppen, ihre Kenntnisse zu erweitern und neue Fähigkeiten zu erlernen.";;"Entgeltermäßigungen in Höhe von 50 %, Ausführungsvorschriften über Entgelte der Volkshochschulen finden Sie bei den einzelnen Angeboten.";http://www.berlin.de/vhs-treptow-koepenick/;"Baumschulenstraße 79-81";"12437 Berlin";nein;"Bildung & Beratung";"Erwachsene, Senioren, Familie";;;;;;;;"2025-10-07 15:22:34";"2025-02-24 14:50:16"
315;;;WABE;"Die WABE ist eine zentrale Kultureinrichtung  im Bezirk Prenzlauer Berg/Pankow. Sie ist ein beliebter Veranstaltungsort für Konzerte und diverse andere kulturelle Events.";;"ermäßigter Eintritt auf ausgewiesene Veranstaltungen";http://www.wabe-berlin.de;"Danziger Str. 105";"10405 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-10-08 15:22:34";"2025-02-24 14:50:16"
316;;;"Waldhochseilgarten Jungfernheide";"Kletterwald mit Biergarten für Ausflüge und Events. Erlebe Berlin aus der Vogel­perspektive und genieße ein einzigartiges Abenteuer im riesigen Waldhochseilgarten im Volkspark Jungfernheide.";;"Nachweis-Inhaber*innen erhalten 10% auf den regulären Preis.";https://waldhochseilgarten-jungfernheide.de/;"Heckerdamm 260";"13627 Berlin";nein;Sport;"Erwachsene, Senioren, Familie";;;;;;;;"2025-10-09 15:22:34";"2025-02-24 14:50:17"
318;;;"Werkbundarchiv - Museum der Dinge";"Das Museum der Dinge folgt der Werkbund-Tradition und befasst sich mit der Produktkultur des 20. und 21. Jahrhunderts. Die Sammlung umfasst neben ca. 30.000 Dokumenten auch rund 20.000 Objekte.";;"freier Eintritt";www.museumderdinge.de;"Leipziger Str. 54";"10117 Berlin";ja;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-10-11 15:22:34";"2025-02-24 14:50:17"
319;;;"Wintergarten Berlin";"Der Wintergarten setzt auf eine Mischung aus Show, Musik, Tanz und Akrobatik. Als Begleitung zu dem Unterhaltungsprogramm gibt es die Möglichkeit sich mit einem Drei-Gänge-Menü oder Wein versorgen zu lassen.";;"ermäßigter Eintritt an der Abendkasse buchbar 30 Min. vor Showbeginn. außer November, Dezember, sowie Sondervorstellungen. 30 Euro (PK 1 od. 2) nach Verfügbarkeit";www.wintergarten-berlin.de;"Potsdamer Str. 96";"10785 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-10-12 15:22:34";"2025-02-24 14:50:18"
320;;;Zebrano-Theater;"Das musikalisch-literarisch ausgerichtete Programm des Zebrano-Theaters besteht aus Kleinkunst, Kabarett und Chanson und wird durch Literaturevents sowie Kinderveranstaltungen ergänzt.";;"ermäßigter Preis";http://www.zebrano-theater.de;"Lenbachstraße 7A";"10245 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-10-13 15:22:34";"2025-02-24 14:50:18"
322;;;"Zentrum für Familienplanung Steglitz-Zehlendorf";"Das Zentrum bietet ihnen zum einen eine medizinische und psychosoziale Beratung zum Thema sexuelle Gesundheit, STI und HIV und zum anderen eine Betreuung rund um die Schwangerschaft sowie eine Beratung bei Schwangerschaftskonfikten.";;"Nachweis-Inhaber*innen können kostenfrei diverse Beratungsangebote in Anspruch nehmen s. http://www.steglitz-zehlendorf.de/zentrum-familienplanung. Zur Zeit vorwiegend telefonische Beratungen mit Terminvereinbarungen";https://www.berlin.de/ba-steglitz-zehlendorf/politik-und-verwaltung/aemter/gesundheitsamt/zentrum-fuer-familienplanung/artikel.29766.php;"Rubensstraße 125";"12157 Berlin";ja;"Bildung & Beratung";"Erwachsene, Senioren, Familie";;;;;;;;"2025-10-15 15:22:34";"2025-02-24 14:50:19"
323;;;"Zentrum für sexuelle Gesundheit und Familienplanung Charlottenburg-Wilmersdorf";"Das Zentrum bietet ihnen zum einen eine medizinische und psychosoziale Beratung zum Thema sexuelle Gesundheit, STI und HIV und zum anderen eine Betreuung rund um die Schwangerschaft sowie eine Beratung bei Schwangerschaftskonfikten.";;"Nachweis-Inhaber*innen benötigen für die Prüfung des Anspruches auf die Kostenübernahme ihres Verhütungsmittels keine weiteren Einkommensnachweise. Durchführung von kostenlosen HIV-Tests für Nachweis-Inhaber*innen.";https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/gesundheit/zentrum-fuer-sexuelle-gesundheit-und-familienplanung/;"Hohenzollerndann 174";"10713 Berlin";ja;"Bildung & Beratung";"Erwachsene, Senioren, Familie";;;;;;;;"2025-10-16 15:22:34";"2025-02-24 14:50:19"
324;;;"Zentrum für sexuelle Gesundheit und Familienplanung Friedrichshain-Kreuzberg";"Das Zentrum bietet ihnen zum einen eine medizinische und psychosoziale Beratung zum Thema sexuelle Gesundheit, STI und HIV und zum anderen eine Betreuung rund um die Schwangerschaft sowie eine Beratung bei Schwangerschaftskonfikten.";;"Nachweis-Inhaber*innen können die Kostenübernahme von Verhütungsmitteln prüfen lassen. Der HIV-Test wird anonym und bei geringen Einkünften kostenfrei durchgeführt. STI-Tests sind grundsätzlich kostenfrei.";https://www.berlin.de/ba-friedrichshain-kreuzberg/politik-und-verwaltung/aemter/gesundheitsamt/zentrum-fuer-sexuelle-gesundheit-und-familienplanung/;"Urbanstraße 24";"10967 Berlin";ja;"Bildung & Beratung";"Erwachsene, Senioren, Familie";;;;;;;;"2025-10-17 15:22:34";"2025-02-24 14:50:20"
325;;;"Zentrum für sexuelle Gesundheit und Familienplanung Marzahn-Hellersdorf";"Das Zentrum bietet ihnen zum einen eine medizinische und psychosoziale Beratung zum Thema sexuelle Gesundheit, STI und HIV und zum anderen eine Betreuung rund um die Schwangerschaft sowie eine Beratung bei Schwangerschaftskonfikten.";;"Nachweis-Inhaber*innen können die Kostenübernahme von Verhütungsmitteln prüfen lassen und Durchführung von anonymen und kostenlosen HIV-Tests.";www.berlin.de/ba-marzahn-hellersdorf/verwaltung/gesundheit/gesund5.html;"Janusz-Korczak-Str. 32,";"12627 Berlin";ja;"Bildung & Beratung";"Erwachsene, Senioren, Familie";;;;;;;;"2025-10-18 15:22:34";"2025-02-24 14:50:20"
326;;;"Zentrum für sexuelle Gesundheit und Familienplanung Mitte";"Das Zentrum bietet ihnen zum einen eine medizinische und psychosoziale Beratung zum Thema sexuelle Gesundheit, STI und HIV und zum anderen eine Betreuung rund um die Schwangerschaft sowie eine Beratung bei Schwangerschaftskonfikten.";;"Nachweis-Inhaber*innen können die Kostenübernahme von Verhütungsmitteln prüfen lassen. Ebenfalls werden kostenlos Abstriche auf sexuell übertragbare Infektionen wie Chlamydien, Gonorrhoe, Syphilis etc. angeboten.";https://www.berlin.de/ba-mitte/politik-und-verwaltung/aemter/gesundheitsamt/zentren/artikel.106172.php;"Ruheplatzstr. 13";"13347 Berlin";nein;"Bildung & Beratung";"Erwachsene, Senioren, Familie";;;;;;;;"2025-10-19 15:22:34";"2025-02-24 14:50:21"
327;;;"Zeughauskino im Deutschen Historischen Museum";"Das Zeughauskino ist ein Programmkino als Teil des Deutschen Historischen Museums. Es konzentriert sich vor allem darauf, historische Filme zu zeigen und damit sein Publikum anzusprechen.";;"ermäßigter Eintritt, Bei Vorlage des Nachweiseses erhalten Nachweis-Inhaber*innen 50% Rabatt auf den Eintrittspreis. Bei regulären Vorführungen zahlen Nachweis-Inhaber*innen somit 2,50 Euro, bei Sonderveranstaltungen liegt der ermäßigte Preis entsprechend höher.";https://www.dhm.de/zeughauskino/;"Hinter dem Gießhaus 3";"10117 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-10-20 15:22:34";"2025-02-24 14:50:21"
328;;;"Zitadelle Spandau";"Die Festung aus dem 16. Jahrhundert, einst ein militärisches Bollwerk, dient heute als Schauplatz für eine Vielzahl kultureller Ereignisse wie Mittelalterfeste, Musikfestivals, Theateraufführungen und Kunstausstellungen.";;"ermäßigter Eintritt";www.zitadelle-spandau.de;"Am Juliusturm 64";"13599 Berlin";nein;Sport;"Erwachsene, Senioren, Familie";;;;;;;;"2025-10-21 15:22:34";"2025-02-24 14:50:21"
329;;;"Zoo Berlin";"Der Zoo Berlin  ein Zoo der Superlative! Er ist nicht nur der älteste sowie meistbesuchte Zoo Deutschlands, sondern auch einer der artenreichsten weltweit. Zu seinen Bewohnern gehören unter anderem die einzigen Großen Pandas in Deutschland!";;"ermäßigter Tageseintritt bzw. ermäßigte Jahreskarten für Nachweis-Inhaber*innen";www.zoo-berlin.de;"Hardenbergpl. 8";"10787 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-10-22 15:22:34";"2025-02-24 14:50:22"
330;;;"Weiße Flotte Potsdam";"In Potsdam bietet die Weiße Flotte Rundfahrten mit dem Dampfer oder Wassertaxi an, ideal, um die Stadt der Schlösser und Parks vom Wasser aus zu erkunden.";;"Montag bis Freitag 10% Preisnachlass auf alle Linienfahrten (Schlösserrundfahrt, Große Inselrundfahrt, Havelseenrundfahrt, Wannseerundfahrt). Preisnachlass gilt nicht an den Wochenenden, nicht an Feiertagen, nicht für Tages- und Halbtagesfahrten, nicht für Eventfahrten und nicht für kulinarische Themenfahrten";www.schifffahrt-in-potsdam.de;"Große Fischerstraße 6";"14467 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-10-23 15:22:34";"2025-02-24 14:50:22"
331;;;Klangbaum-Musikschule;"Unsere Klangbaum Musikschulen unterrichten seit knapp 20 Jahren Kinder ab 2 Jahren in der musikalischen Frühförderung (Klangschäfchen), ab 5 Jahren das Instrumentenkarussell (Musikfrösche), Jugendliche und Erwachsene im Instrumental- und Gesangsunterricht.";;"1.+2. Monat 10% Einzelunterricht | 1. Monat kostenfrei Klangschäfchen | 10% auf den Kurspreis Musikfrösche, In den Ferien findet kein Unterricht statt";https://www.klangbaum.de/;"Finowstraße 37";"10247 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-10-24 15:22:34";"2025-02-24 14:50:23"
332;;ja;"THE WALL MUSEUM";"Im The Wall Museum erleben die Besucher direkt an der Berliner Mauer im ehemaligen Todesstreifen die Geschichte der Berliner Teilung und des schönsten Ereignisses der Deutschen- den Fall der Berliner Mauer, multimedial inszeniert und mit einem roten Faden vom Bau der Mauer bis zu ihrem Fall 1989.";;"Nachweis-Inhaber*innen zahlen 7,50 Euro statt 12,50 Euro";https://thewallmuseum.com/tickets/;"Mühlenstraße 78-80";"10243 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";ja;Frau;"Sopiko Makharadze";info@thewallmuseum.com;ja;;;"2025-10-25 15:22:34";"2025-03-07 13:35:47"
334;;;"City Kino Wedding";"Das City Kino Wedding ist ein Programmkino auf dem Komplex des Centre Français de Berlin in der Müllerstraße 74.";;"ermäßiger Eintritt, Nachweis-Inhaber*innen zahlen nur 5,50 Euro (plus jeweilige Überlängenzuschläge).";https://citykinowedding.de/;"Müllerstraße 74";"13349 Berlin";nein;Freizeit;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-10-27 15:22:34";"2025-02-24 14:50:24"
